Team,Rec,Delta,Rat,Pwr,Off,Def,HFA,SoS,Year
UABNCAA D1,20-120.625,,1087.37,10136.85,7996.55,17017.88,2.79,12731.73,25-26
UtahNCAA D1,10-220.313,,1097.36,9038.27,9395.58,10120.27,3.12,5040.42,25-26
SF AustinNCAA D1,28-60.824,,1107.36,13833.02,21590.6,10719.99,2.81,26026.73,25-26
WyomingNCAA D1,18-150.545,,1117.33,11135.62,14492.75,9520.45,2.94,9934.32,25-26
SeattleNCAA D1,21-140.600,1,1127.33,11535.28,27188.93,3623.93,2.95,11632.39,25-26
North TexasNCAA D1,19-140.576,1,1137.32,10636.2,30587.99,2725.79,2.74,12331.88,25-26
BradleyNCAA D1,21-130.618,-2,1147.32,11035.72,11494.48,14518.81,3,12931.64,25-26
MemphisNCAA D1,13-190.406,1,1157.31,8938.35,8296.23,11719.69,2.86,8236.58,25-26
DavidsonNCAA D1,20-140.588,-1,1167.31,11834.94,23989.91,6022.6,2.72,11232.5,25-26
N Dakota StNCAA D1,27-80.771,,1177.31,13533.32,14392.81,16618.09,2.74,24027.18,25-26
UNC WilmingtonNCAA D1,27-70.794,,1187.3,13233.54,19890.98,10520.14,2.73,27726.37,25-26
FL AtlanticNCAA D1,18-150.545,1,1197.3,10736.1,9595.48,15918.2,2.93,10932.84,25-26
HofstraNCAA D1,24-110.686,-1,1207.3,12034.65,24189.87,6422.35,2.7,18028.9,25-26
G WashingtonNCAA D1,19-160.543,,1217.28,11335.5,8696.18,19316.89,2.82,11032.7,25-26
Sam Houston StNCAA D1,22-120.647,,1227.27,12733.96,9895.33,21116.2,2.9,14230.88,25-26
HawaiiNCAA D1,24-90.727,,1237.27,13433.4,16991.77,13019.21,2.83,21927.88,25-26
Murray StNCAA D1,20-130.606,,1247.26,12933.74,6997.44,29813.87,2.9,11932.35,25-26
UC IrvineNCAA D1,23-120.657,,1257.24,10935.78,17891.44,7121.91,2.83,19128.62,25-26
Oregon StNCAA D1,17-160.515,,1267.24,12234.26,17291.65,10420.18,2.92,10134.04,25-26
KentNCAA D1,24-100.706,,1277.22,14332.72,11094.78,23515.52,2.74,18728.69,25-26
UC San DiegoNCAA D1,23-110.676,,1287.21,12833.94,23190.04,8021.48,2.67,19528.45,25-26
TroyNCAA D1,22-120.647,,1297.19,13733.15,18491.31,12419.41,2.82,17429.13,25-26
DuquesneNCAA D1,18-150.545,,1307.18,13333.49,14092.97,16418.1,2.72,12431.75,25-26
KennesawNCAA D1,21-140.600,3,1317.16,14532.7,8995.93,27414.34,2.8,15629.89,25-26
WashburnNCAA D2,31-20.939,,1327.16,13033.64,15492.4,14318.82,2.76,38415.05,25-26
IL ChicagoNCAA D1,19-160.543,-2,1337.15,14232.74,17191.67,15018.64,2.75,12531.74,25-26
S IllinoisNCAA D1,16-160.500,-1,1347.15,12334.2,21890.47,8321.3,2.87,11132.63,25-26
St BonaventureNCAA D1,17-170.500,,1357.14,12534.14,14192.9,14418.82,2.87,12231.91,25-26
TulaneNCAA D1,18-150.545,2,1367.13,15631.59,17091.7,17417.47,2.91,11732.37,25-26
Wright StNCAA D1,23-120.657,-1,1377.12,14632.59,12593.98,21416.19,2.71,21727.89,25-26
St Thomas MNNCAA D1,24-100.706,-1,1387.12,14432.72,13693.05,18117.24,2.83,27126.56,25-26
PacificNCAA D1,18-150.545,,1397.12,15831.42,27688.71,10020.28,2.8,11532.4,25-26
Col CharlestonNCAA D1,21-110.656,,1407.11,15331.79,15892.12,18017.25,2.76,18828.69,25-26
Georgia TechNCAA D1,11-200.355,,1417.1,12134.63,12094.25,16817.96,2.82,8735.77,25-26
ValparaisoNCAA D1,18-150.545,,1427.09,17230.89,24789.76,14718.71,2.81,12132.07,25-26
Washington StNCAA D1,12-200.375,,1437.09,10835.84,9495.52,16917.9,2.97,9634.66,25-26
Boston CollegeNCAA D1,11-200.355,,1447.09,12634.03,25989.34,6522.26,2.79,8835.77,25-26
ToledoNCAA D1,19-150.559,,1457.07,13633.2,9695.43,23815.34,2.86,16229.54,25-26
Arkansas StNCAA D1,20-120.625,,1467.07,13932.97,8096.52,29214.03,2.84,20028.39,25-26
WKUNCAA D1,18-140.563,1,1477.07,14832.47,12294.13,22315.91,2.85,14630.33,25-26
Louisiana TechNCAA D1,20-140.588,-1,1487.07,14932.1,34886.7,5122.97,2.81,19228.6,25-26
TempleNCAA D1,16-160.500,,1497.06,13133.6,17991.42,11419.75,2.88,13931,25-26
CharlotteNCAA D1,17-170.500,,1507.06,17031.01,23589.96,15118.63,2.85,12032.22,25-26
FurmanNCAA D1,22-130.629,,1517.05,15031.99,18791.23,15518.34,2.82,24427.07,25-26
WinthropNCAA D1,23-110.676,,1527.05,16731.11,10595.02,31113.67,2.8,25026.9,25-26
PennNCAA D1,18-120.600,,1537.05,19229.74,18591.3,21816.02,2.86,14830.22,25-26
Fresno StNCAA D1,13-190.406,,1547.04,14132.86,19591.04,12519.4,2.94,10034.25,25-26
UT ArlingtonNCAA D1,18-140.563,1,1557.03,16831.1,33087.31,8221.37,2.84,15130.11,25-26
MTSUNCAA D1,17-150.531,1,1567.03,15531.63,16491.88,17717.33,2.95,14030.97,25-26
Rhode IslandNCAA D1,16-160.500,1,1577.03,15231.85,26988.94,9320.49,2.94,12831.7,25-26
Nova SENCAA D2,32-20.941,-3,1587.03,16331.28,30100.8,4958.05,2.61,41713.55,25-26
