Team,Rec,Delta,Rat,Pwr,Off,Def,HFA,SoS,Year
BelmontNCAA D1,21-110.656,,1167.79,10935.99,6694.31,21117.42,2.88,15530.92,22-23
San Jose StNCAA D1,21-140.600,,1177.79,16632.43,29586.54,9621.63,2.93,9434.95,22-23
Southern UtahNCAA D1,24-130.649,,1187.79,13134.54,3496.49,33713.79,2.81,15031.24,22-23
George MasonNCAA D1,20-130.606,,1197.78,13634.35,24587.76,8322.34,2.83,11633.02,22-23
CharlotteNCAA D1,22-140.611,,1207.77,13334.52,33185.7,4124.56,2.95,13132.03,22-23
DavidsonNCAA D1,16-160.500,,1217.77,9637.41,14390.96,8422.19,2.9,10633.79,22-23
Georgia TechNCAA D1,15-180.455,,1227.76,11735.26,17989.81,10721.18,2.82,8236.22,22-23
GeorgiaNCAA D1,16-160.500,,1237.76,14433.73,14990.85,18118.62,3.08,7636.66,22-23
UNC WilmingtonNCAA D1,24-100.706,,1247.75,15932.67,26187.22,10621.19,2.88,18929.85,22-23
UC IrvineNCAA D1,23-120.657,,1257.75,11235.63,13491.16,13920.21,2.9,18030.1,22-23
E WashingtonNCAA D1,23-110.676,,1267.75,14133.91,8293.27,24016.39,2.82,16230.56,22-23
ColgateNCAA D1,26-90.743,,1277.74,12734.63,8193.28,22217.1,2.79,29126.98,22-23
DePaulNCAA D1,10-230.303,,1287.73,11135.78,7293.66,19717.86,2.84,1640.52,22-23
Southern MissNCAA D1,25-80.758,,1297.73,17631.51,22288.41,17618.85,2.97,21629.01,22-23
VermontNCAA D1,23-110.676,,1307.73,11635.39,18289.65,9921.48,2.8,25228.37,22-23
SeattleNCAA D1,20-120.625,,1317.72,14733.54,18789.58,15119.7,2.93,13431.79,22-23
KennesawNCAA D1,26-90.743,,1327.72,18231.29,20589.03,19318,2.84,21329.11,22-23
Indiana StNCAA D1,23-130.639,,1337.68,11935.04,6993.96,23416.82,2.9,20529.3,22-23
James MadisonNCAA D1,22-110.667,,1347.68,14034.03,7993.31,23816.47,2.78,21929,22-23
UC RiversideNCAA D1,22-120.647,,1357.67,16732.35,18989.53,18418.56,2.78,15730.83,22-23
WKUNCAA D1,18-160.529,,1367.67,12934.58,15890.5,15019.83,2.87,12732.49,22-23
TowsonNCAA D1,21-120.636,,1377.67,13034.55,19689.27,11421.03,2.75,20629.3,22-23
DuquesneNCAA D1,20-130.606,,1387.66,15233.28,12891.3,20017.72,2.85,12932.14,22-23
UNC AshevilleNCAA D1,28-80.778,,1397.65,20530.16,20888.87,22517.03,2.91,28927.02,22-23
Notre DameNCAA D1,11-210.344,,1407.65,10037.17,12491.6,10221.32,2.86,7936.54,22-23
UNC GreensboroNCAA D1,20-120.625,,1417.65,13734.34,29186.64,6023.44,2.8,19229.73,22-23
NW MissouriNCAA D2,31-30.912,,1427.64,13434.46,29286.63,5823.58,2.73,40816.61,22-23
RichmondNCAA D1,15-180.455,,1437.62,11335.62,19389.37,8821.99,2.77,11133.35,22-23
CS FullertonNCAA D1,20-130.606,,1447.62,16132.66,25487.39,11621.01,2.75,16830.31,22-23
MinnesotaNCAA D1,9-220.290,,1457.62,12834.58,19789.26,11321.06,3,3839.23,22-23
Missouri StNCAA D1,17-150.531,,1467.62,12534.81,28186.87,5523.68,2.87,14431.44,22-23
OhioNCAA D1,19-140.576,,1477.61,13534.45,8793.15,22417.05,2.92,18130.09,22-23
HawaiiNCAA D1,22-110.667,,1487.6,15832.71,36784.78,5623.67,2.83,25628.27,22-23
SF AustinNCAA D1,19-130.594,,1497.6,14333.79,11991.76,19917.77,2.83,17830.14,22-23
Old DominionNCAA D1,19-120.613,,1507.6,16332.48,30786.11,8522.11,3.06,16930.3,22-23
PennNCAA D1,17-130.567,,1517.59,14833.5,10292.38,23216.87,2.92,14931.3,22-23
East CarolinaNCAA D1,16-170.485,,1527.58,16832.27,23587.99,14420.02,2.88,10333.89,22-23
South CarolinaNCAA D1,11-210.344,,1537.58,15133.31,20988.81,13720.25,2.95,6338.03,22-23
Louisiana TechNCAA D1,15-180.455,,1547.58,12134.99,13691.1,15319.64,2.88,12532.55,22-23
Fresno StNCAA D1,11-200.355,,1557.57,11535.5,32785.76,3225.48,2.85,9135.26,22-23
E KentuckyNCAA D1,23-140.622,,1567.57,17931.44,7193.75,34613.43,2.91,20429.33,22-23
South AlabamaNCAA D1,19-160.543,,1577.56,14533.68,22788.16,10421.26,2.85,18230.06,22-23
Murray StNCAA D1,17-150.531,,1587.56,16032.66,15990.39,19218.02,2.97,14031.62,22-23
S Dakota StNCAA D1,19-130.594,,1597.55,14933.36,14590.92,19018.18,2.88,19529.66,22-23
Florida StNCAA D1,9-230.281,,1607.54,11435.52,9992.4,17518.86,2.99,6638,22-23
Oregon StNCAA D1,11-210.344,,1617.54,15433.05,30386.21,8122.58,2.87,7337.12,22-23
St Joseph's PANCAA D1,16-170.485,,1627.54,16932.27,15290.79,21617.22,2.92,12232.8,22-23
SMUNCAA D1,11-220.333,,1637.53,12035,10192.39,18618.35,3.02,8635.92,22-23
SamfordNCAA D1,21-110.656,,1647.53,17731.5,9792.67,29914.57,2.93,26228.1,22-23
N KentuckyNCAA D1,22-130.629,,1657.52,18031.44,39684.05,6723.13,2.84,26927.94,22-23
West LibertyNCAA D2,33-40.892,,1667.52,17831.46,3103.26,6753.94,2.69,40516.73,22-23
MA LowellNCAA D1,26-80.765,,1677.51,19230.94,18189.72,22916.96,2.79,33924.03,22-23
St BonaventureNCAA D1,14-180.438,,1687.51,12434.82,26487.19,6123.38,2.97,12832.34,22-23
CornellNCAA D1,17-110.607,,1697.51,17131.81,4895.26,39012.3,2.94,19729.57,22-23
South FloridaNCAA D1,14-180.438,,1707.51,15532.95,21188.78,14719.91,2.78,10433.86,22-23
MassachusettsNCAA D1,15-160.484,,1717.5,18531.2,15590.73,24616.22,2.95,11033.39,22-23
RiceNCAA D1,19-160.543,,1727.5,20030.43,9692.71,34513.47,2.91,14631.37,22-23
Youngstown StNCAA D1,24-100.706,,1737.5,19730.53,10892.2,32014.07,2.82,30326.42,22-23
TroyNCAA D1,20-130.606,,1747.49,19031,24687.71,17019.04,2.84,21529.02,22-23
Ball StNCAA D1,20-120.625,,1757.49,18831.03,14490.95,25315.82,2.91,23628.6,22-23
UTEPNCAA D1,14-180.438,,1767.47,16432.46,25687.34,12420.86,2.89,11932.9,22-23
Weber StNCAA D1,18-150.545,,1777.46,18331.25,28786.7,13520.3,2.9,17230.25,22-23
Cal BaptistNCAA D1,17-160.515,,1787.46,17431.66,30586.15,10521.25,2.87,16530.41,22-23
ChattanoogaNCAA D1,18-170.514,,1797.46,15632.85,12291.67,23016.92,2.72,20929.23,22-23
New Mexico StNCAA D1,9-150.375,,1807.46,10836.01,15090.82,12220.93,2.84,13032.03,22-23
BuffaloNCAA D1,15-170.469,,1817.44,16232.63,6594.44,32413.93,2.83,13831.65,22-23
Air ForceNCAA D1,14-180.438,,1827.44,18131.37,34485.23,9021.88,3.02,11333.17,22-23
WyomingNCAA D1,9-220.290,,1837.44,13834.25,17389.96,14320.04,2.84,8735.86,22-23
Tarleton StNCAA D1,17-170.500,,1847.44,19930.49,29086.66,15719.57,2.69,14331.53,22-23
LipscombNCAA D1,20-130.606,,1857.44,19430.79,14191,26315.53,2.8,26827.97,22-23
La SalleNCAA D1,15-190.441,,1867.42,19830.5,21688.65,20517.59,2.89,11832.95,22-23
Northern IowaNCAA D1,14-180.438,,1877.41,16532.44,17190.03,19118.16,2.86,14231.55,22-23
MontanaNCAA D1,17-140.548,,1887.41,18731.07,26687.14,15219.68,2.92,19829.54,22-23
RadfordNCAA D1,21-150.583,,1897.41,20130.35,35684.97,10921.12,2.7,26328.09,22-23
UC DavisNCAA D1,18-140.563,,1907.4,19330.86,16690.26,24316.34,2.84,22928.88,22-23
PortlandNCAA D1,14-190.424,,1917.4,20330.31,11092.14,32613.91,2.75,10733.47,22-23
GeorgetownNCAA D1,7-250.219,,1927.39,15333.06,11691.92,23116.88,2.84,4338.95,22-23
BrownNCAA D1,14-130.519,,1937.38,19530.68,24187.84,18218.58,2.76,16730.34,22-23
Long Beach StNCAA D1,17-160.515,,1947.38,19130.99,6794.24,38012.49,2.87,17930.13,22-23
G WashingtonNCAA D1,16-160.500,,1957.38,21129.81,9292.85,37412.7,2.95,14531.39,22-23
WoffordNCAA D1,17-160.515,,1967.37,18931.02,17689.94,23316.83,2.8,21729.01,22-23
DrexelNCAA D1,17-150.531,,1977.37,17331.67,33585.59,9121.82,2.87,25828.21,22-23
PacificNCAA D1,15-180.455,,1987.36,20430.17,13091.29,29714.63,2.91,13531.71,22-23
Loyola-ChicagoNCAA D1,11-210.344,,1997.35,15033.32,21788.63,13320.44,2.87,12032.86,22-23
DelawareNCAA D1,17-160.515,,2007.35,21729.59,23088.1,21517.22,2.78,18829.85,22-23
HarvardNCAA D1,14-140.500,,2017.35,18431.25,30686.13,12320.87,2.8,20029.4,22-23
Texas StNCAA D1,16-190.457,,2027.35,19630.55,36484.8,9821.49,2.7,18729.85,22-23
Appalachian StNCAA D1,16-160.500,,2037.33,20230.33,35385.06,11521.02,2.82,21229.18,22-23
Wright StNCAA D1,18-150.545,,2047.32,17032.08,8993.03,28714.8,2.8,29626.86,22-23
Cleveland StNCAA D1,21-140.600,,2057.32,22428.97,24787.69,22617.02,2.8,29426.94,22-23
Utah TechNCAA D1,14-190.424,,2067.32,20930,16890.19,26215.55,2.82,13931.64,22-23
QuinnipiacNCAA D1,20-120.625,,2077.32,23128.24,18589.61,30414.37,2.78,28127.36,22-23
Abilene ChrNCAA D1,13-170.433,,2087.32,17531.53,16590.31,22816.97,2.81,17530.2,22-23
FGCUNCAA D1,17-150.531,,2097.31,21529.64,23188.1,21217.28,2.88,21029.2,22-23
LongwoodNCAA D1,20-120.625,,2107.31,21329.73,29986.44,17219.03,2.81,31925.69,22-23
GramblingNCAA D1,24-90.727,,2117.3,25527.07,41983.47,16119.34,2.77,34223.98,22-23
WI MilwaukeeNCAA D1,22-120.647,,2127.3,26126.86,15190.81,40511.8,2.79,30026.54,22-23
Indiana PANCAA D2,32-20.941,,2137.3,27725.87,52480.99,12920.62,2.71,53712.7,22-23
Morehead StNCAA D1,22-120.647,,2147.29,23328.16,43582.93,12120.97,2.77,32725.18,22-23
TAM C. ChristiNCAA D1,24-110.686,,2157.29,23428.15,18089.77,31714.12,2.7,34623.78,22-23
StetsonNCAA D1,17-140.548,,2167.29,23927.96,17889.84,33013.86,2.77,20129.37,22-23
Florida IntlNCAA D1,14-180.438,,2177.28,22129.22,17489.95,28015.01,2.92,14731.36,22-23
N Dakota StNCAA D1,16-170.485,,2187.28,21029.82,21088.79,23616.77,2.84,22428.93,22-23
Ga SouthernNCAA D1,17-160.515,,2197.27,22728.65,36284.85,15819.55,2.85,24628.46,22-23
Norfolk StNCAA D1,22-110.667,,2207.26,22828.61,25987.3,22317.05,2.84,34923.75,22-23
Queens NCNCAA D1,17-150.531,,2217.26,24127.8,14690.9,37712.65,2.66,24128.52,22-23
SienaNCAA D1,17-150.531,,2227.25,22628.7,30286.25,18918.2,2.84,24328.48,22-23
W CarolinaNCAA D1,18-160.529,,2237.25,24427.73,22488.32,27615.15,2.94,25028.4,22-23
NavyNCAA D1,18-130.581,,2247.24,21429.72,37784.47,11920.99,2.64,30626.09,22-23
BellarmineNCAA D1,15-180.455,,2257.24,22928.58,38184.34,14619.98,2.83,18529.96,22-23
Black Hills StNCAA D2,29-60.829,,2267.23,26026.86,22388.38,31314.23,2.79,39317.16,22-23
UT ArlingtonNCAA D1,11-210.344,,2277.23,22229.21,32385.88,16819.07,2.85,12132.81,22-23
CS San Bern.NCAA D2,32-40.889,,2287.22,28125.72,6294.61,5686.85,2.77,44615.25,22-23
BryantNCAA D1,17-130.567,,2297.22,23528.14,11392.05,40311.83,2.84,28727.12,22-23
MercerNCAA D1,14-190.424,,2307.21,20830.06,33685.59,14020.21,2.8,21429.08,22-23
HowardNCAA D1,23-130.639,,2317.21,27226.27,21388.75,35113.27,2.8,33225.07,22-23
RiderNCAA D1,16-140.533,,2327.2,23028.56,26387.19,22117.11,2.87,28027.37,22-23
Northwestern LANCAA D1,22-110.667,,2337.19,29325.21,25587.36,34213.59,2.78,32125.6,22-23
Rhode IslandNCAA D1,9-220.290,,2347.19,18631.09,28986.67,14120.16,2.92,11732.97,22-23
Gardner WebbNCAA D1,15-160.484,,2357.19,21229.81,34085.46,14220.08,2.8,27327.53,22-23
C OklahomaNCAA D2,26-60.813,,2367.19,26926.52,37284.67,20617.59,2.87,37718.08,22-23
San DiegoNCAA D1,11-200.355,,2377.18,21929.51,10692.23,36113.02,2.86,13232.02,22-23
St Thomas MNNCAA D1,19-140.576,,2387.17,27426.12,25187.48,30314.38,2.81,29726.8,22-23
W Texas A&MNCAA D2,28-70.800,,2397.17,24027.87,9192.86,43010.75,2.87,38517.61,22-23
Southern NazareneNCAA D2,27-60.818,,2407.17,26526.64,58879.63,7522.76,2.84,41016.56,22-23
PepperdineNCAA D1,9-220.290,,2417.16,20630.11,7793.4,38312.46,2.8,10933.41,22-23
N ColoradoNCAA D1,12-200.375,,2427.16,22029.45,10792.22,36512.97,2.79,16130.61,22-23
WinthropNCAA D1,15-170.469,,2437.15,22528.75,15390.77,33813.72,2.81,26128.13,22-23
NiagaraNCAA D1,16-150.516,,2447.15,26426.74,44082.86,15519.62,2.96,27527.51,22-23
CS SacramentoNCAA D1,14-180.438,,2457.15,25127.29,42183.45,15619.58,2.88,19429.67,22-23
JacksonvilleNCAA D1,13-160.448,,2467.15,24627.61,55880.32,6923.03,2.8,23228.82,22-23
PFWNCAA D1,17-150.531,,2477.15,24327.73,22588.18,27115.3,2.88,30126.52,22-23
DetroitNCAA D1,14-190.424,,2487.14,22328.99,13791.09,34013.64,3.01,22528.92,22-23
Jacksonville StNCAA D1,13-180.419,,2497.14,21829.57,27486.98,18718.33,2.8,24828.43,22-23
LouisvilleNCAA D1,4-280.125,,2507.14,17231.74,21288.75,17818.73,3.03,4938.64,22-23
SC UpstateNCAA D1,16-160.500,,2517.13,28525.6,34785.17,24716.17,2.85,25128.38,22-23
North AlabamaNCAA D1,18-150.545,,2527.13,29225.28,26587.14,32813.88,2.86,27227.64,22-23
CampbellNCAA D1,16-180.471,,2537.13,23827.99,29886.46,21317.28,2.79,29226.96,22-23
NC CentralNCAA D1,18-120.600,,2547.13,24827.43,31985.95,21717.22,2.92,34123.99,22-23
North FloridaNCAA D1,14-170.452,,2557.12,24527.71,12591.5,40011.95,2.99,22728.91,22-23
Northern ArizonaNCAA D1,12-230.343,,2567.11,23628.02,19089.47,30814.29,2.73,15830.81,22-23
Alcorn StNCAA D1,18-140.563,,2577.11,31024.49,35085.11,27715.12,2.95,26628,22-23
Portland StNCAA D1,12-190.387,,2587.11,23728,14890.86,36712.88,2.81,18430.05,22-23
UTRGVNCAA D1,15-170.469,,2597.11,25327.15,11292.07,42910.82,2.91,26727.99,22-23
Ft LewisNCAA D2,29-40.879,,2607.09,34922.71,16190.35,5338.1,2.73,42316.14,22-23
N IllinoisNCAA D1,13-190.406,,2617.08,26226.83,28086.87,25615.7,2.86,18330.06,22-23
UMBCNCAA D1,18-140.563,,2627.07,26826.6,21888.49,33313.85,2.8,32625.19,22-23
ETSUNCAA D1,12-200.375,,2637.07,21629.61,29786.54,17718.82,2.81,24728.46,22-23
American UnivNCAA D1,17-150.531,,2647.06,30624.57,47482.1,18818.21,2.86,29926.55,22-23
Point LomaNCAA D2,29-40.879,,2657.06,29625.17,24287.82,36013.08,2.77,51913.17,22-23
Northern St SDNCAA D2,24-70.774,,2667.06,28625.57,23288.09,35413.22,2.83,37218.31,22-23
OaklandNCAA D1,14-190.424,,2677.05,25727,18889.58,35713.16,2.85,24528.47,22-23
Moorhead StNCAA D2,25-70.781,,2687.05,29425.18,24887.68,35213.24,2.81,37918.04,22-23
SE Missouri StNCAA D1,19-170.528,,2697.05,27925.77,13391.16,45010.35,2.75,32425.22,22-23
Robert MorrisNCAA D1,16-170.485,,2707.03,27626,39184.17,20717.57,2.85,30226.44,22-23
CaliforniaNCAA D1,3-290.094,,2717.03,20730.06,45182.58,6323.22,2.98,3439.55,22-23
MN DuluthNCAA D2,26-100.722,,2727.03,28825.43,19889.23,40211.94,2.67,36718.77,22-23
Illinois StNCAA D1,11-210.344,,2737.02,25027.41,31685.96,21817.19,3.08,17730.16,22-23
St Peter'sNCAA D1,14-180.438,,2747.02,25826.89,51181.37,10321.27,2.82,29526.89,22-23
Colorado MinesNCAA D2,26-60.813,,2757.02,29025.37,28386.84,30914.28,2.77,44115.47,22-23
IL ChicagoNCAA D1,12-200.375,,2767.02,28425.61,31885.96,26915.4,2.88,17430.24,22-23
ValparaisoNCAA D1,11-210.344,,2777.02,25627,27187.06,25715.69,2.95,17630.17,22-23
Lincoln MemNCAA D2,30-50.857,,2787.02,26726.6,11891.76,44110.58,2.9,57311.67,22-23
W IllinoisNCAA D1,16-140.533,,2797.01,30224.75,27287,34413.49,2.86,31325.82,22-23
Boston UnivNCAA D1,15-170.469,,2807.01,26626.63,37884.47,19417.9,2.69,30426.41,22-23
ArmyNCAA D1,17-160.515,,2817.01,28325.65,25387.42,32313.97,2.88,33125.1,22-23
UT San AntonioNCAA D1,10-220.313,,2827.01,26326.79,21588.67,33113.86,3.1,14131.58,22-23
LehighNCAA D1,16-140.533,,2837.01,30024.86,33485.62,28314.98,2.82,31125.83,22-23
SIUENCAA D1,19-140.576,,2847.01,31324.45,33985.51,29414.68,2.8,33824.12,22-23
FairfieldNCAA D1,13-180.419,,2857,27526.09,44282.78,16919.05,2.8,25928.17,22-23
NortheasternNCAA D1,10-200.333,,2867,25427.09,34585.2,20217.63,2.92,16330.56,22-23
F DickinsonNCAA D1,21-160.568,,2877,30124.85,15690.65,4629.94,2.81,34723.76,22-23
Miami OHNCAA D1,12-200.375,,2887,25227.2,23787.97,28414.97,2.94,25328.37,22-23
Coastal CarNCAA D1,11-200.355,,2896.99,24727.56,20189.17,31614.13,2.93,23828.58,22-23
New HampshireNCAA D1,15-150.500,,2906.98,30324.74,51381.33,16419.15,2.86,31625.73,22-23
SE LouisianaNCAA D1,18-140.563,,2916.98,30524.61,18489.62,43210.73,2.84,33324.57,22-23
TulsaNCAA D1,5-250.167,,2926.98,23228.23,25287.45,23716.51,3.1,8835.84,22-23
CS BakersfieldNCAA D1,12-220.353,,2936.98,28225.68,57679.97,10021.45,2.87,21129.19,22-23
DartmouthNCAA D1,10-180.357,,2946.97,25926.89,27586.97,25915.66,2.9,23028.88,22-23
Angelo StNCAA D2,26-70.788,,2956.97,35022.66,42983.07,27015.32,2.77,39217.17,22-23
Nicholls StNCAA D1,16-150.516,,2966.97,27026.46,22888.13,32014.07,2.88,33524.48,22-23
Bowling GreenNCAA D1,11-200.355,,2976.97,24927.43,12391.65,41211.52,2.85,23528.61,22-23
MercyhurstNCAA D2,25-60.806,,2986.96,28725.55,39284.17,21917.12,2.88,51013.35,22-23
Georgia StNCAA D1,10-210.323,,2996.96,24227.77,32485.84,20117.67,2.87,23128.83,22-23
Emporia StNCAA D2,23-90.719,,3006.96,32124.19,37584.51,26715.42,2.84,36818.7,22-23
MD E ShoreNCAA D1,18-130.581,,3016.96,34622.97,52181.1,20317.62,2.85,33624.22,22-23
South DakotaNCAA D1,12-190.387,,3026.95,27126.44,26787.08,27815.1,2.98,26428.03,22-23
Arkansas StNCAA D1,13-200.394,,3036.94,27825.79,43083.06,18518.47,2.89,28627.17,22-23
MaristNCAA D1,13-200.394,,3046.94,29525.17,46782.34,18318.58,2.74,28327.2,22-23
William & MaryNCAA D1,13-200.394,,3056.94,31824.34,38884.27,25415.81,2.93,23728.58,22-23
Mt St Mary'sNCAA D1,13-200.394,,3066.94,31524.37,50681.43,18018.69,2.78,25428.32,22-23
UC San DiegoNCAA D1,10-200.333,,3076.93,29725.16,27986.91,32213.99,2.79,19029.82,22-23
High PointNCAA D1,14-170.452,,3086.92,31724.34,24487.79,38912.3,3.01,29826.77,22-23
TN MartinNCAA D1,19-140.576,,3096.92,32423.88,18389.63,4619.99,2.93,35922.74,22-23
CO MesaNCAA D2,25-60.806,,3106.91,33823.27,40084.01,28115,2.71,45714.91,22-23
MerrimackNCAA D1,18-160.529,,3116.9,33223.41,64477.99,10821.16,2.81,34823.75,22-23
LafayetteNCAA D1,11-230.324,,3126.9,29825.07,49281.74,16719.07,2.78,20829.24,22-23
IndianapolisNCAA D2,26-60.813,,3136.9,34722.93,42083.47,27315.2,2.82,46114.82,22-23
ULMNCAA D1,11-210.344,,3146.9,29924.97,38584.31,23916.4,2.94,22228.99,22-23
North DakotaNCAA D1,13-200.394,,3156.9,31224.46,26287.2,36313,2.87,27627.51,22-23
Jackson StNCAA D1,14-190.424,,3166.9,33323.39,41783.55,26115.58,2.78,26528.01,22-23
NC A&TNCAA D1,13-190.406,,3176.89,33123.49,31286.06,35613.17,2.89,25728.22,22-23
CanisiusNCAA D1,10-200.333,,3186.89,27326.23,25787.34,29614.63,2.86,23928.57,22-23
Idaho StNCAA D1,11-210.344,,3196.89,29125.31,36884.76,24416.29,2.83,24028.56,22-23
Southern UnivNCAA D1,15-170.469,,3206.89,28925.38,32085.95,27515.17,2.98,32825.17,22-23
Tennessee TechNCAA D1,17-170.500,,3216.88,32024.22,28586.74,35313.22,2.95,34323.91,22-23
ManhattanNCAA D1,12-180.400,,3226.88,31624.35,39084.21,25215.88,2.82,27927.4,22-23
Stony BrookNCAA D1,11-220.333,,3236.88,30924.5,44882.64,20417.6,2.85,22628.92,22-23
AugustaNCAA D2,27-60.818,,3246.88,32723.56,23687.98,42211.32,2.83,49013.85,22-23
TX SouthernNCAA D1,14-210.400,,3256.87,28025.75,32285.89,26015.6,2.74,31525.78,22-23
Fort Hays StNCAA D2,21-90.700,,3266.87,31924.33,63778.29,9221.78,2.9,40716.65,22-23
DenverNCAA D1,15-170.469,,3276.86,33623.32,26987.06,39812,3.02,32025.67,22-23
WagnerNCAA D1,15-130.536,,3286.85,30824.51,57480.03,13820.22,2.86,36122.39,22-23
Southern IndianaNCAA D1,17-170.500,,3296.83,32923.53,25087.49,40711.77,2.76,34523.78,22-23
Tennessee StNCAA D1,18-140.563,,3306.83,32623.61,24387.79,41111.56,2.95,36321.6,22-23
MO St LouisNCAA D2,24-110.686,,3316.83,31124.49,39384.15,24916.08,2.74,41516.43,22-23
Missouri KCNCAA D1,11-210.344,,3326.81,30424.65,50381.5,17418.89,2.9,27027.78,22-23
C MichiganNCAA D1,10-210.323,,3336.8,34323.07,43183.06,25515.76,2.91,20229.35,22-23
BinghamtonNCAA D1,13-180.419,,3346.8,35422.41,41083.73,30214.43,2.8,30926.01,22-23
MaineNCAA D1,13-170.433,,3356.8,37221.04,47781.98,28814.8,2.82,29027.01,22-23
Prairie ViewNCAA D1,13-190.406,,3366.79,31424.4,40184,24816.15,2.85,32325.36,22-23
BucknellNCAA D1,12-200.375,,3376.79,30724.54,33285.7,29814.58,2.98,30526.15,22-23
Cal PolyNCAA D1,8-250.242,,3386.78,32324.09,59179.57,13620.26,2.85,17330.24,22-23
CitadelNCAA D1,10-220.313,,3396.78,34522.99,33785.59,35813.15,2.81,20329.34,22-23
E MichiganNCAA D1,8-230.258,,3406.78,32823.54,24087.86,41611.43,2.91,15930.78,22-23
Loyola MDNCAA D1,13-200.394,,3416.77,34423,40983.76,28214.99,2.9,31225.82,22-23
NE OmahaNCAA D1,9-230.281,,3426.76,34223.12,30186.28,37812.59,3.02,19129.81,22-23
Monmouth NJNCAA D1,7-260.212,,3436.76,32224.12,40583.89,25015.97,2.95,13631.68,22-23
Sacred HeartNCAA D1,16-170.485,,3446.75,35322.45,32685.76,38512.43,2.79,35523.24,22-23
Morgan StNCAA D1,15-160.484,,3456.75,35122.63,32185.9,38112.48,2.84,35423.24,22-23
IdahoNCAA D1,10-220.313,,3466.73,33423.38,30086.41,37312.71,2.86,27827.43,22-23
Lubbock ChrNCAA D2,19-120.613,,3476.73,33023.5,40783.77,26615.47,2.92,37518.14,22-23
BentleyNCAA D2,23-70.767,,3486.73,33923.27,27786.94,39412.07,2.96,52513.04,22-23
Charleston SoNCAA D1,10-210.323,,3496.72,35222.62,31386.06,38812.3,2.92,28227.24,22-23
StonehillNCAA D1,14-170.452,,3506.71,38220.32,49381.7,30714.36,2.85,32925.17,22-23
Austin PeayNCAA D1,10-220.313,,3516.7,34123.23,44982.6,24116.37,3.05,29326.96,22-23
East Texas A&MNCAA D1,13-200.394,,3526.7,36221.75,35285.06,38412.44,2.8,31725.71,22-23
SC AikenNCAA D2,24-90.727,,3536.69,37820.62,29486.57,4679.8,2.75,45814.86,22-23
Alabama A&MNCAA D1,15-180.455,,3546.68,37121.06,46182.44,30614.37,2.96,35323.35,22-23
ElonNCAA D1,8-240.250,,3556.68,32523.61,43482.99,24216.37,2.85,23328.71,22-23
Chicago StNCAA D1,11-200.355,,3566.68,36621.48,39784.03,35513.19,2.97,28827.11,22-23
W MichiganNCAA D1,8-230.258,,3576.67,33523.36,35584.98,31814.12,2.84,24428.47,22-23
Cent ArkansasNCAA D1,9-220.290,,3586.66,36521.51,20089.18,5368.07,3.04,23428.63,22-23
St Francis PANCAA D1,13-180.419,,3596.64,36121.75,30986.1,41711.4,2.87,35223.4,22-23
HillsdaleNCAA D2,23-70.767,,3606.63,36021.78,45282.57,28514.95,2.76,57011.79,22-23
SE OklahomaNCAA D2,18-100.643,,3616.63,35622.25,10092.4,6125.59,2.86,42116.22,22-23
CS NorthridgeNCAA D1,7-250.219,,3626.62,34822.72,52281.02,21017.45,2.9,20729.25,22-23
EvansvilleNCAA D1,6-270.182,,3636.62,37320.98,47981.92,28614.8,3.1,12632.52,22-23
NC PembrokeNCAA D2,26-40.867,,3646.62,38620.08,40683.84,39911.98,2.84,6238.41,22-23
Ferris StNCAA D2,24-90.727,,3656.62,36321.72,19589.29,5318.18,2.9,54412.54,22-23
Ark Little RockNCAA D1,10-210.323,,3666.61,34023.25,19189.45,4759.54,2.96,33025.11,22-23
MO SouthernNCAA D2,17-130.567,,3676.61,36721.35,28686.71,44910.38,2.87,37018.5,22-23
New OrleansNCAA D1,12-200.375,,3686.61,35721.92,22688.17,4779.5,2.96,34423.82,22-23
N MichiganNCAA D2,25-80.758,,3696.61,40818.92,31186.07,5108.59,2.81,51213.33,22-23
TX A&M K'villeNCAA D2,21-120.636,,3706.61,37021.15,46282.41,30114.48,2.86,42615.99,22-23
AL HuntsvilleNCAA D2,27-80.771,,3716.6,41318.58,44182.84,41511.48,2.82,55012.4,22-23
Fairmont StNCAA D2,24-90.727,,3726.6,38020.59,11492.03,6614.3,2.87,50713.46,22-23
North GeorgiaNCAA D2,21-80.724,,3736.59,42618.16,42583.27,43810.63,2.77,45514.95,22-23
McNeese StNCAA D1,11-230.324,,3746.59,37420.98,36084.93,40611.79,2.85,31825.7,22-23
Sioux FallsNCAA D2,19-110.633,,3756.59,41618.53,49781.61,37612.66,2.85,38317.72,22-23
E StroudsburgNCAA D2,23-90.719,,3766.59,35522.32,12191.73,5906.33,2.84,54812.41,22-23
S ArkansasNCAA D2,22-100.688,,3776.59,40318.99,34185.41,4849.32,2.94,43815.52,22-23
Coppin StNCAA D1,9-230.281,,3786.58,39019.79,27686.96,5138.57,2.79,22028.99,22-23
FL SouthernNCAA D2,19-90.679,,3796.58,38420.28,4595.57,8000.45,2.82,43515.65,22-23
HamptonNCAA D1,8-240.250,,3806.58,37920.6,35984.95,41811.39,2.99,22328.96,22-23
St Francis NYNCAA D1,14-160.467,,3816.57,40119.1,56080.28,30014.55,2.86,36222.27,22-23
Lincoln MONCAA D2,18-110.621,,3826.57,43217.69,55180.44,36412.99,2.98,37318.23,22-23
