Team,Rec,Tms,Rat,Pwr,Off,Def,HFA,SoS,Year
Landmark,36-390.480,10,944.13,93-5.05,9372.53,88-0.88,2.85,93-4.80,24-25
MAC Freedom,48-410.539,8,954.12,95-5.77,10070.87,810.06,2.85,99-5.95,24-25
SAA,40-520.435,7,964.04,97-6.52,8973.26,97-3.07,2.91,94-4.85,24-25
C of New England,31-430.419,10,974.03,96-6.15,8374.25,100-3.70,2.88,97-5.55,24-25
USA South,37-590.385,8,983.94,98-7.78,9771.23,94-2.30,2.88,98-5.66,24-25
SUNY AC,24-510.320,10,993.81,100-9.02,10470.4,96-2.72,2.87,101-7.87,24-25
Presidents' AC,34-270.557,11,1003.81,102-9.90,10870.01,98-3.20,2.83,104-9.49,24-25
Upper Midwest,40-650.381,8,1013.79,101-9.37,9672.14,106-4.80,2.81,100-6.56,24-25
Atlantic East,47-480.495,7,1023.76,104-10.23,10770.03,99-3.55,2.86,103-9.27,24-25
Great Northeast,66-930.415,15,1033.74,103-10.10,10170.76,101-4.16,2.91,102-8.75,24-25
Empire 8,48-680.414,12,1043.67,105-11.17,10670.05,105-4.51,2.85,105-9.87,24-25
Allegheny Mtn,37-490.430,9,1053.63,106-11.79,9572.29,108-7.37,2.86,107-10.17,24-25
NCAA II Ind,0-80.000,1,1063.62,99-8.50,10570.26,93-2.05,2.9,3714.87,24-25
MASCAC,32-600.348,7,1073.57,107-12.14,9970.93,107-6.36,2.84,106-9.99,24-25
St Louis IAC,19-640.229,10,1083.43,108-13.68,9870.97,111-7.95,2.92,108-11.40,24-25
Skyline,39-780.333,12,1093.39,109-14.83,11266.11,104-4.23,2.86,109-12.49,24-25
North Atlantic,45-720.385,10,1103.23,110-16.95,10968.33,112-8.57,2.85,111-14.52,24-25
United East,37-1070.257,16,1113.2,111-17.02,11167.2,109-7.52,2.86,110-13.80,24-25
City Univ NY,31-540.365,8,1123.19,112-17.29,11067.27,110-7.85,2.83,112-14.72,24-25
NCAA III Ind,19-350.352,2,1132.62,113-23.89,11364.88,113-12.07,2.88,113-18.07,24-25
Big 12,156-450.776,14,18.33,144.56,496.11,125,2.92,339.9,23-24
Big 10,131-460.740,14,28.28,243.67,396.19,224.04,2.95,140.35,23-24
Big East,99-430.697,11,38.22,343.06,296.3,323.32,2.89,240.29,23-24
Southeastern,145-580.714,14,48.2,442.64,197.19,622.01,2.93,439.46,23-24
Atlantic Coast,133-530.715,15,58.13,541.65,595.22,422.99,2.89,539.07,23-24
Pac 12,95-500.655,12,68.08,641.26,695.12,522.7,2.97,639.03,23-24
Mountain West,110-450.710,11,77.87,738.07,792.78,721.85,2.92,735.68,23-24
Atlantic 10,136-660.673,15,87.65,935.42,1091.39,820.59,2.88,933.44,23-24
American Athletic,112-710.612,14,97.63,835.59,892.78,1119.37,2.93,833.71,23-24
West Coast,77-610.558,9,107.52,1034.66,992.48,1218.75,2.87,1032.73,23-24
Missouri Val,90-520.634,12,117.52,1133.86,1190.82,919.61,2.94,1132.55,23-24
NCAA D1,512-50.990,362,127.36,1332.04,1290.34,1318.26,2.89,1231.33,23-24
Conference USA,73-620.541,9,137.35,1232.24,1989.3,1019.5,2.9,1430.63,23-24
Western Athletic,73-570.562,11,147.32,1431.41,1490.16,1417.82,2.87,1330.79,23-24
Ivy League,67-480.583,8,157.28,1530.87,1590.03,1717.4,2.85,1530.06,23-24
Sun Belt,90-910.497,14,167.22,1730.47,1690.01,2017.03,2.91,1630.03,23-24
Southern,78-530.595,10,177.21,1830.14,1390.16,2216.54,2.85,2228.93,23-24
MAC East,72-710.503,6,187.18,1630.79,1889.6,1617.75,2.89,2029.23,23-24
Big West,71-600.542,11,197.17,1929.59,2888.34,1517.8,2.84,1929.26,23-24
Coastal,91-910.500,14,207.13,2029.14,2688.37,1817.32,2.87,2129.16,23-24
Mid-American,74-840.468,12,217.1,2128.96,2188.99,2316.54,2.89,1829.29,23-24
Big South,74-620.544,9,227.05,2227.91,2788.36,2416.11,2.84,2727.52,23-24
MAC West,65-760.461,6,237.02,2627.14,2588.38,2715.32,2.89,1729.36,23-24
Big Sky,68-670.504,10,247.02,2427.44,2388.43,2615.57,2.85,2527.71,23-24
America East,68-590.535,9,257,2727.13,2488.39,2815.3,2.84,2927.46,23-24
Summit Lg,67-670.500,9,266.99,2327.56,2288.97,2915.15,2.92,3026.93,23-24
Horizon,61-670.477,11,276.96,2527.17,2089.26,3114.47,2.88,2327.79,23-24
Atlantic Sun,80-990.447,12,286.95,2827.08,1789.75,3313.9,2.91,2627.62,23-24
Metro Atlantic,50-680.424,11,296.92,2926.62,3285.93,1917.25,2.83,2827.47,23-24
D1 Independent,13-190.406,1,306.75,3223.7,3884.49,2515.77,2.94,2427.78,23-24
OH Valley,68-770.469,11,316.71,3123.85,3385.86,3014.56,2.88,3524.32,23-24
Patriot League,37-900.291,10,326.68,3023.98,4383.85,2116.69,2.8,3125.75,23-24
Southland,54-760.415,10,336.68,3323.36,3186.86,3613.06,2.88,3324.78,23-24
Mid-Eastern AC,48-820.369,8,346.53,3421.67,3584.68,3513.55,2.88,3424.5,23-24
