side,player_name,season,team,source_level,target_conference,destination_school
target,Jackson Grant,2023-24,Utah State,D1,Mountain West,Utah State
source,Max Agbonkpolo,2022-23,Wyoming,D1,Mountain West,Utah State
target,Max Agbonkpolo,2023-24,Utah State,D1,Mountain West,Utah State
target,Nigel Burris,2023-24,Utah State,D1,Mountain West,Utah State
target,Braden Housley,2024-25,Utah State,D1,Mountain West,Utah State
target,Luke Kearney,2025-26,Utah State,D1,Mountain West,Utah State
source,Zach Keller,2024-25,Utah,D1,Mountain West,Utah State
source,Jake Kyman,2021-22,UCLA,D1,Mountain West,Wyoming
target,Jake Kyman,2022-23,Wyoming,D1,Mountain West,Wyoming
target,Max Agbonkpolo,2022-23,Wyoming,D1,Mountain West,Wyoming
source,Oleg Kojenets,2022-23,Nebraska,D1,Mountain West,Wyoming
target,Oleg Kojenets,2023-24,Wyoming,D1,Mountain West,Wyoming
target,Scottie Ebube,2024-25,Wyoming,D1,Mountain West,Wyoming
source,Jared Harris,2024-25,Memphis,D1,Mountain West,Wyoming
target,Jared Harris,2025-26,Wyoming,D1,Mountain West,Wyoming
source,Angelo Brizzi,2022-23,Villanova,D1,Atlantic 10,Davidson
source,Jarvis Moss,2022-23,Stanford,D1,Atlantic 10,Davidson
target,Jarvis Moss,2023-24,Davidson,D1,Atlantic 10,Davidson
source,Joe Hurlburt,2023-24,Colorado,D1,Atlantic 10,Davidson
target,Joe Hurlburt,2024-25,Davidson,D1,Atlantic 10,Davidson
source,"JaQualon ""JQ"" Roberts",2024-25,Vanderbilt,D1,Atlantic 10,Davidson
target,"JaQualon ""JQ"" Roberts",2025-26,Davidson,D1,Atlantic 10,Davidson
source,Richard Amaefule,2020-21,East Tennessee State,D1,Atlantic 10,Dayton
target,Richard Amaefule,2022-23,Dayton,D1,Atlantic 10,Dayton
target,Isaac Jack,2023-24,Dayton,D1,Atlantic 10,Dayton
source,Nate Santos,2022-23,Pittsburgh,D1,Atlantic 10,Dayton
target,Jacob Conner,2024-25,Dayton,D1,Atlantic 10,Dayton
source,Bryce Heard,2024-25,NC State,D1,Atlantic 10,Dayton
source,De'Shayne Montgomery,2024-25,Georgia,D1,Atlantic 10,Dayton
source,Joseph Reece,2021-22,Bowling Green,D1,Atlantic 10,Duquesne
target,Joseph Reece,2022-23,Duquesne,D1,Atlantic 10,Duquesne
source,Dusan Mahorcic,2022-23,NC State,D1,Atlantic 10,Duquesne
target,Dusan Mahorcic,2023-24,Duquesne,D1,Atlantic 10,Duquesne
target,Hassan Drame,2023-24,Duquesne,D1,Atlantic 10,Duquesne
source,Stef van Bussel,2023-24,Saint Louis,D1,Atlantic 10,Duquesne
target,Stef van Bussel,2025-26,Duquesne,D1,Atlantic 10,Duquesne
target,Jack Whitbourn,2025-26,Fordham,D1,Atlantic 10,Fordham
source,Keyshawn Hall,2022-23,UNLV,D1,Atlantic 10,George Mason
source,Desmond Watson,2022-23,Davidson,D1,Atlantic 10,Loyola Chicago
target,Desmond Watson,2023-24,Loyola Chicago,D1,Atlantic 10,Loyola Chicago
source,Dominick Harris,2024-25,UCLA,D1,Atlantic 10,Loyola Chicago
target,Dominick Harris,2025-26,Loyola Chicago,D1,Atlantic 10,Loyola Chicago
source,Kayde Dotson,2024-25,New Mexico,D1,Atlantic 10,Loyola Chicago
source,Michael Meadows,2022-23,Portland,D1,Atlantic 10,Saint Louis
target,Michael Meadows,2023-24,Saint Louis,D1,Atlantic 10,Saint Louis
source,Kilian Brockhoff,2023-24,UC Santa Barbara,D1,Atlantic 10,Saint Louis
target,Kilian Brockhoff,2024-25,Saint Louis,D1,Atlantic 10,Saint Louis
source,Connor Odom,2022-23,Utah State,D1,Atlantic 10,VCU
target,Connor Odom,2023-24,VCU,D1,Atlantic 10,VCU
source,Ashton Hardaway,2024-25,St. Mary's (CA),D1,American,Memphis
target,Will McClendon,2025-26,North Texas,D1,American,North Texas
target,Jimmy Oladokun,2024-25,Rice,D1,American,Rice
source,Jefferson Koulibaly,2021-22,Washington State,D1,American,SMU
target,Jefferson Koulibaly,2022-23,SMU,D1,American,SMU
source,Kolby King,2022-23,St. John's (NY),D1,American,Tulane
target,Brian Amuneke,2025-26,Wichita State,D1,American,Wichita State
source,Kael Combs,2023-24,Wyoming,D1,Missouri Valley,Drake
source,Dylan Anderson,2024-25,Boise State,D1,Missouri Valley,Murray State
target,Dylan Anderson,2025-26,Murray State,D1,Missouri Valley,Murray State
