season,team,team_key,level,conference_2020_21,wins,losses,win_pct,delta,rating_rank,rating,power_rank,power,offense_rank,offense,defense_rank,defense,hfa,sos_rank,sos,source_row
2025-26,Northern Iowa,northern iowa,NCAA D1,,23.0,13.0,0.639,-1.0,94.0,7.5,93.0,37.95,285.0,88.52,18.0,27.0,2.79,118.0,32.36,95
2025-26,Pittsburgh,pittsburgh,NCAA D1,,13.0,20.0,0.394,,95.0,7.5,82.0,39.44,148.0,92.66,34.0,24.35,2.8,68.0,39.19,96
2025-26,St Joseph's PA,st joseph s pa,NCAA D1,,24.0,12.0,0.667,,96.0,7.48,114.0,35.45,162.0,91.89,84.0,21.13,2.77,114.0,32.42,97
2025-26,South Carolina,south carolina,NCAA D1,,13.0,19.0,0.406,,97.0,7.48,87.0,38.43,127.0,93.82,68.0,22.19,2.91,64.0,39.34,98
2025-26,Liberty,liberty,NCAA D1,,26.0,8.0,0.765,,98.0,7.47,117.0,35.08,146.0,92.7,108.0,19.95,2.76,152.0,30.03,99
2025-26,UNLV,unlv,NCAA D1,,18.0,17.0,0.514,1.0,99.0,7.45,103.0,36.54,9.0,95.83,157.0,18.29,2.82,83.0,36.53,100
2025-26,Notre Dame,notre dame,NCAA D1,,13.0,18.0,0.419,1.0,1.0,7.45,92.0,38.0,106.0,94.84,9.0,20.73,2.83,71.0,38.83,101
2025-26,Illinois St,illinois st,NCAA D1,,23.0,13.0,0.639,-2.0,1.0,17.45,112.0,35.61,176.0,91.49,76.0,21.7,2.93,107.0,32.96,102
2025-26,George Mason,george mason,NCAA D1,,23.0,10.0,0.697,,1.0,27.43,105.0,36.27,25.0,89.62,35.0,24.23,2.92,136.0,31.2,103
2025-26,Cal Baptist,cal baptist,NCAA D1,,25.0,9.0,0.735,1.0,1.0,37.42,124.0,34.19,263.0,89.22,62.0,22.55,2.82,147.0,30.25,104
2025-26,Yale,yale,NCAA D1,,24.0,7.0,0.774,-1.0,104.0,7.41,102.0,36.72,109.0,94.78,121.0,19.51,2.83,209.0,28.17,105
2025-26,Utah Valley,utah valley,NCAA D1,,25.0,9.0,0.735,,105.0,7.4,104.0,36.28,121.0,94.14,115.0,19.71,2.89,172.0,29.13,106
2025-26,Penn St,penn st,NCAA D1,,12.0,20.0,0.375,,106.0,7.39,94.0,37.83,83.0,96.21,131.0,19.2,2.94,65.0,39.32,107
2025-26,San Francisco,san francisco,NCAA D1,,17.0,16.0,0.515,,107.0,7.37,96.0,37.56,111.0,94.77,98.0,20.36,2.74,98.0,34.48,108
2025-26,UAB,uab,NCAA D1,,20.0,12.0,0.625,,108.0,7.37,101.0,36.85,79.0,96.55,17.0,17.88,2.79,127.0,31.73,109
2025-26,Utah,utah,NCAA D1,,10.0,22.0,0.313,,109.0,7.36,9.0,38.27,93.0,95.58,101.0,20.27,3.12,5.0,40.42,110
