target_conference,player_name,source_school,source_conference,source_level,destination_school,first_big_west_season,target,actual,cv_prediction,cv_error,best_model,player_slug,source_season,source_stat_source,position,height_in,weight_lbs,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_conf_power,destination_conf_power,conf_power_delta,outcome_tier,source_url,outcome_url,abs_error,under_predicted,over_predicted
Big West,Tyler McGhie,Southern Nazarene,GAC,D2,UC San Diego,2023-24,bpm_percentile,85.2589641434263,28.87509507866151,-56.38386906476479,histgb_lr_0.06_leaves_10_l2_5.0,tyler-mcghie,2022-23,target_conference_common_box,G,77.0,190.0,32,31.90625,0.79765625,16.59375,3.71875,1.28125,20.80313418217434,4.662095984329089,1.6062683643486777,16.46,29.59,13.13,Target-conference starter/plus rotation,https://snuathletics.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/tyler-mcghie-1.html,56.38386906476479,True,False
Big West,Gytis Nemeikša,Xavier,Big East,D1,Hawaii,2024-25,bpm_percentile,90.6374501992032,34.41801994751768,-56.21943025168551,histgb_lr_0.06_leaves_10_l2_5.0,gytis-nemeika,2023-24,target_conference_common_box,F,79.0,203.0,34,18.5,0.4625,5.2,4.2,0.9,11.243243243243244,9.08108108108108,1.945945945945946,43.06,30.41,-12.650000000000002,Target-conference starter/plus rotation,https://www.sports-reference.com/cbb/schools/xavier/men/2024.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,56.21943025168551,True,False
WCC,Carlos Stewart,Louisiana State,SEC,D1,Santa Clara,2024-25,bpm_percentile,91.73306772908366,36.18501614279568,-55.548051586287976,histgb_lr_0.06_leaves_10_l2_5.0,carlos stewart,2023-24,target_conference_common_box,G,6-1,185.0,13,19.5,0.4875,4.7,2.2,1.0,9.64102564102564,4.512820512820513,2.051282051282051,42.64,36.22,-6.420000000000002,Target-conference impact starter,https://www.sports-reference.com/cbb/players/carlos-stewart-1.html,https://www.sports-reference.com/cbb/players/carlos-stewart-1.html,55.548051586287976,True,False
Atlantic 10,Alex Crawford,Fresno State,MWC,D1,Rhode Island,2025-26,bpm_percentile,12.649402390438247,67.56674428899416,54.91734189855591,histgb_lr_0.06_leaves_10_l2_5.0,alex crawford,2024-25,target_conference_common_box,F,6-7,187.0,30,32.5,0.8125,11.5,4.3,1.3,14.153846153846152,5.292307692307692,1.6,37.82,34.66,-3.1600000000000037,Limited target-conference role,https://www.sports-reference.com/cbb/players/alex-crawford-1.html,https://www.sports-reference.com/cbb/players/alex-crawford-1.html,54.91734189855591,False,True
Big West,A.J. George,SMU,ACC,D1,Cal State Bakersfield,2025-26,bpm_percentile,4.681274900398407,59.58638352752349,54.90510862712508,histgb_lr_0.06_leaves_10_l2_5.0,aj-george,2024-25,target_conference_common_box,F,77.0,210.0,22,6.5,0.1625,2.0,1.0,0.2,12.307692307692308,6.153846153846154,1.2307692307692308,40.65,29.37,-11.279999999999998,Limited target-conference role,https://www.sports-reference.com/cbb/schools/southern-methodist/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html,54.90510862712508,False,True
Mountain West,Jordan Nesbitt,Hampton,CAA,D1,Wyoming,2024-25,bpm_percentile,23.40637450199203,78.3024017084574,54.89602720646536,histgb_lr_0.06_leaves_10_l2_5.0,jordan nesbitt,2023-24,target_conference_common_box,G,6-6,185.0,25,30.3,0.7575000000000001,10.2,4.9,4.3,13.465346534653465,6.468646864686469,5.676567656765677,29.14,37.82,8.68,Target-conference rotation,https://www.sports-reference.com/cbb/players/jordan-nesbitt-1.html,https://www.sports-reference.com/cbb/players/jordan-nesbitt-1.html,54.89602720646536,False,True
Big West,Kobe Young,Boise State,Mountain West,D1,Cal State Fullerton,2024-25,bpm_percentile,4.681274900398407,59.552772647138234,54.87149774673983,histgb_lr_0.06_leaves_10_l2_5.0,kobe-young,2023-24,target_conference_common_box,G,78.0,204.0,25,4.1,0.1025,1.1,1.1,0.2,10.731707317073171,10.731707317073171,1.951219512195122,38.07,30.41,-7.66,Limited target-conference role,https://www.sports-reference.com/cbb/schools/boise-state/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2025.html,54.87149774673983,False,True
Big West,Chris Howell,Saint Mary's,West Coast,D1,UC San Diego,2024-25,bpm_percentile,83.86454183266933,29.663914818969076,-54.200627013700256,histgb_lr_0.06_leaves_10_l2_5.0,chris-howell,2023-24,target_conference_common_box,G,78.0,195.0,31,10.5,0.2625,1.5,1.4,0.7,5.714285714285714,5.333333333333333,2.6666666666666665,34.66,30.41,-4.2499999999999964,Target-conference starter/plus rotation,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2024.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2025.html,54.200627013700256,True,False
WCC,Brandin Podziemski,Illinois,Big Ten,D1,Santa Clara,2022-23,bpm_percentile,99.402390438247,45.94069767022444,-53.46169276802257,histgb_lr_0.06_leaves_10_l2_5.0,brandin podziemski,2021-22,target_conference_common_box,G,6-5,200.0,16,4.3,0.1075,1.4,0.9,0.3,13.023255813953488,8.372093023255815,2.7906976744186047,43.51,36.74,-6.769999999999996,Target-conference impact starter,https://www.sports-reference.com/cbb/players/brandin-podziemski-1.html,https://www.sports-reference.com/cbb/players/brandin-podziemski-1.html,53.46169276802257,True,False
WCC,Efton Reid,Louisiana State,SEC,D1,Gonzaga,2022-23,bpm_percentile,3.286852589641434,56.7334961896778,53.44664360003637,histgb_lr_0.06_leaves_10_l2_5.0,efton reid,2021-22,target_conference_common_box,C,6-11,238.0,34,19.6,0.49,6.3,4.3,0.5,12.857142857142856,8.775510204081632,1.020408163265306,43.14,36.74,-6.399999999999999,Limited target-conference role,https://www.sports-reference.com/cbb/players/efton-reid-1.html,https://www.sports-reference.com/cbb/players/efton-reid-1.html,53.44664360003637,False,True
