target,source_conference,rows,mae,median_abs_error,mean_error,actual_mean,prediction_mean
bpm_percentile,WAC,18,17.938718793198934,14.816523482946785,-4.281952227232837,56.75630810092961,52.47435587369678
bpm_percentile,CCAA,7,17.87609428117404,11.496736585616755,10.915449269676525,35.2589641434263,46.17441341310282
bpm_percentile,SWAC,5,17.121595126068648,18.96456079048532,7.905339212110827,30.517928286852587,38.42326749896342
bpm_percentile,AmEast,3,16.70768142473382,23.04090656861157,14.4575851772619,37.74900398406375,52.206589161325645
bpm_percentile,Patriot League,1,16.639774508577574,16.639774508577574,16.639774508577574,40.83665338645419,57.47642789503176
bpm_percentile,Southland,12,16.336005418480912,15.511984412828955,-1.87747964607117,45.56772908366534,43.69024943759417
bpm_percentile,CUSA,11,15.334812153172265,13.016192000307797,-3.600573736775523,56.16624411445128,52.565670377675765
bpm_percentile,SSC,5,15.108842064614544,7.88140511605652,1.3512190553648182,52.05179282868526,53.40301188405008
bpm_percentile,A-Sun,7,14.885563971696167,12.535609808358942,-3.701834359359028,59.09220261809902,55.390368258740004
bpm_percentile,Summit League,2,14.631798182874281,14.631798182874281,14.631798182874281,28.137450199203187,42.76924838207747
bpm_percentile,Southern,7,14.1074130512251,14.142674907249848,-5.080342265919106,54.02675014228799,48.94640787636888
bpm_percentile,Horizon,10,13.476362846869296,12.962882991953759,0.2169159019582624,41.99203187250996,42.20894777446822
bpm_percentile,Sun Belt,11,13.170082095020858,16.191391764010625,0.6576784958073993,52.689243027888445,53.34692152369585
bpm_percentile,Big South,5,10.506100688073811,12.850755894342411,-7.538119860878649,66.79282868525897,59.254708824380316
bpm_percentile,ASUN,3,10.448340440605607,5.060311528317257,-10.448340440605607,67.66268260292163,57.21434216231603
bpm_percentile,Summit,5,10.102312848990533,7.589842115155207,-1.3700477094768324,61.79282868525896,60.42278097578213
bpm_percentile,LSC,3,7.516176168296298,4.05428499705333,6.915259270791839,30.57768924302789,37.49294851381973
bpr,SIAC,1,4.033721470462913,4.033721470462913,4.033721470462913,-3.55,0.483721470462913
bpr,MEAC,2,3.097656022488448,3.097656022488448,3.097656022488448,-1.58,1.5176560224884486
bpr,GAC,2,2.797157345780036,2.797157345780036,1.0687534101560907,0.33000000000000007,1.398753410156091
bpr,MVC,7,2.595355702744256,1.687439801230045,0.229602782753078,1.5314285714285716,1.7610313541816496
bpr,ASUN,3,2.3211358896896446,1.902002249191504,1.0531343902286416,1.1199999999999999,2.173134390228642
bpr,Missouri Valley,3,2.262196032072246,2.145087793989852,1.6791661084948704,-1.6733333333333331,0.005832775161537278
bpr,SWAC,3,2.131171827415221,2.141231644383491,2.131171827415221,-0.94,1.1911718274152208
bpr,Mountain West,9,2.129284892966806,2.132257392669377,0.6445307011688336,-0.5355555555555555,0.10897514561327812
