"Brandon Johnson",DePaul,BE,31,83.5,100.4,17.4,45.4,49.91,6.1,15.8,4.5,15.1,88,136,0.647,83,180,0.461,24,82,0.293,0.7,1.1,51.9,Sr,6-8,35,1.72822,100.318,2.6,2022,45288,"Chicago, IL",,0.54165589,49,85,34,95,0.5765,0.3579,12,16,0.7500,,104.573,101.15,3.04038,178.084,-0.970438,-0.111203,-0.859235,-0.891598,33.5161,-0.244684,-0.646914,1.9032,4.9355,6.8387,0.8387,0.6452,0.2258,10.5161,"Wing F",4.46391,1997-10-21
"Nick Robinson","Western Carolina",SC,29,77.8,101,25.6,46,50.33,5.4,18.9,20.3,16.7,86,112,0.768,90,199,0.452,55,176,0.313,1.2,1.8,29.9,Sr,6-6,25,2.31263,105.457,3.2,2022,45304,"Chicago, IL",40.8,1.21619974,36,76,54,123,0.4737,0.4390,2,4,0.5000,,109.773,107.221,2.32622,187.883,0.427392,0.97458,-0.547188,0.802168,33.1667,1.51862,-0.716447,1.8000,5.4667,7.2667,3.0000,1.1000,0.3333,14.7333,"Wing F",10.4257,1997-10-15
"Grant Golden",Richmond,A10,37,68.5,105.5,27.4,53.4,55.66,4,21.9,25.1,15.3,72,102,0.706,183,325,0.563,23,82,0.28,2,0.9,25.1,Sr,6-10,33,3.13057,118.313,2.2,2022,45309,"Winchester, VA",11.0,1.51390103,129,200,54,125,0.6450,0.4320,4,4,1.0000,,101.173,98.3967,2.75832,186.658,2.98787,1.70445,1.28342,4.55005,27.5946,3.83153,0.718525,0.9189,5.1081,6.0270,2.9459,0.4324,0.5135,13.7027,PF/C,4.79063,1998-01-15
"De'Monte Buckingham","UNC Greensboro",SC,30,72.7,115.7,20.6,59.2,61.35,6.4,19.6,8.9,17,47,60,0.783,68,129,0.527,66,153,0.431,0.8,1.7,21.3,Sr,6-4,10,3.01367,114.292,2.2,2022,45310,"Richmond, VA",59.2,0.68623872,56,89,12,40,0.6292,0.3000,4,4,1.0000,,101.751,99.7446,2.88424,163.738,3.06314,2.65921,0.403929,4.82524,30.2903,4.57775,0.24749,1.6129,4.7097,6.3226,1.1290,0.8710,0.1613,12.4516,"Wing G",10.7202,1997-12-18
"Nick Sherod",Richmond,A10,37,37.8,94.9,21.1,45.6,46.95,1.9,12.4,4,5,15,20,0.75,20,63,0.317,56,165,0.339,0,1.7,8.8,Sr,6-4,5,0.703912,98.8196,2.2,2022,45311,"Richmond, VA",50.4,1.09988905,16,31,4,32,0.5161,0.1250,0,0,,,104.095,101.238,1.37199,90.511,-2.97072,-0.0785936,-2.89213,-1.60849,15.2162,0.219754,-1.82824,0.2432,1.5946,1.8378,0.2973,0.4324,0.0000,6.0270,"Wing G",17.4687,1997-10-16
"Perry Francois",Charlotte,CUSA,18,6.9,69.6,17.6,21.1,29.75,8.9,14.3,6,19.9,5,6,0.833,4,17,0.235,0,2,0,1.3,1.4,31.6,Sr,6-8,10,-0.310102,66.6933,5.6,2022,45359,"North Miami, FL",,0.60007203,3,7,1,10,0.4286,0.1000,0,0,,,107.475,108.71,0.309828,14.6107,-9.95752,-7.53412,-2.4234,-10.994,4.7778,-8.25161,-2.7424,0.3333,0.5556,0.8889,0.1667,0.1111,0.0556,0.7222,"Wing F",1.40906,1997-10-15
"Randy Miller Jr.","North Carolina Central",MEAC,26,70.8,93.4,20.7,41.1,48.25,2.2,6.5,8.6,18.9,85,110,0.773,54,145,0.372,30,96,0.313,0.3,1.1,45.6,Sr,6-2,44,0.796505,93.2096,2.2,2022,45477,"Odenton, MD",,0.64407386,31,71,22,73,0.4366,0.3014,0,0,,,106.963,112.932,1.47499,110.142,-5.90815,-2.23757,-3.67058,-4.70197,28.6000,-1.61171,-3.09026,0.5333,1.5667,2.1000,1.2667,0.6333,0.0667,11.1333,"Combo G",6.96723,1998-09-07
"Nolan Taylor","Southeast Missouri St.",OVC,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,6-7,31,-0.318763,-6.46455,0,2022,45530,"Keller, TX",,0.00000000,,,,,,,,,,,117.891,127.794,-0.00137587,0.102769,-5.45555,-2.93481,-2.52074,-6.74895,1.0000,-2.93331,-3.81564,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,PF/C,0,1997-11-11
"Scott Spencer",Tulane,Amer,22,18.6,80.8,14.1,38.4,39.51,2.7,12.1,2.5,9.5,2,2,1,5,15,0.333,11,41,0.268,2.3,2.1,3.6,Sr,6-6,22,-0.326387,75.7978,3.1,2022,45562,"Suffolk, VA",63.4,0.60008798,3,4,2,11,0.7500,0.1818,0,0,,,103.336,101.845,0.868743,39.834,-2.1241,-1.73704,-0.387056,-2.88474,9.9091,-2.45103,-0.433711,0.2273,1.0909,1.3182,0.1364,0.3636,0.1818,2.0455,"Stretch 4",10.8621,1997-04-23
"Algevon Eichelberger","Cleveland St.",Horz,1,0.2,0,29.2,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,62.9,0,0,Sr,6-8,12,-0.61707,-3.51709,0,2022,45568,"Saginaw, MI",29.4,0.00000000,,,,,,,,,,,87.6308,90.4474,0.256436,0.586745,0.536101,-33.6948,34.2309,-8.72015,2.0000,-16.4949,7.77479,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,C,0,1997-10-02
