player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,missing_column
Malcolm Christie,WCC,D1,Oakland,Oregon State,2024-25,2025-26,big_west_obpr
Stephen Olowoniyi,WCC,D1,Southern Indiana,Oregon State,2024-25,2025-26,big_west_obpr
Kris Keinys,WCC,D1,Minnesota,Pacific,2023-24,2024-25,big_west_obpr
Alexis Marmolejos,WCC,D1,Lamar,Pacific,2024-25,2025-26,big_west_obpr
KC Ibekwe,WCC,D1,Washington,Pacific,2024-25,2025-26,big_west_obpr
Boubacar Coulibaly,WCC,D1,Southern California,Pepperdine,2021-22,2022-23,big_west_obpr
Alonso Faure,WCC,D1,Loyola (MD),Pepperdine,2023-24,2024-25,big_west_obpr
Mike Saunders,WCC,D1,McNeese State,Pepperdine,2023-24,2024-25,big_west_obpr
Preston Phillips,WCC,D1,Evansville,Pepperdine,2022-23,2025-26,big_west_obpr
Joey St. Pierre,WCC,D1,Milwaukee,Portland,2021-22,2022-23,big_west_obpr
Wyatt Lowell,WCC,D1,Brigham Young,Portland,2020-21,2022-23,big_west_obpr
Alimamy Koroma,WCC,D1,Cal Poly,Portland,2022-23,2023-24,big_west_obpr
Yuto Yamanouchi,WCC,D1,Lamar,Portland,2022-23,2023-24,big_west_obpr
Jermaine Ballisager-Webb,WCC,D1,American,Portland,2023-24,2024-25,big_west_obpr
Mezziah Oakman,WCC,D1,UC Santa Barbara,Portland,2023-24,2024-25,big_west_obpr
Riley Parker,WCC,D1,Saint Francis (PA),Portland,2024-25,2025-26,big_west_obpr
Ashton Hardaway,WCC,D1,Memphis,Saint Mary's,2023-24,2024-25,big_west_obpr
Tony Duckett,WCC,D1,San Diego,Saint Mary's,2024-25,2025-26,big_west_obpr
Deven Dahlke,WCC,D1,Drake,San Diego,2021-22,2022-23,big_west_obpr
Jaiden Delaire,WCC,D1,Stanford,San Diego,2021-22,2022-23,big_west_obpr
Seikou Sisoho Jawara,WCC,D1,Weber State,San Diego,2021-22,2022-23,big_west_obpr
Colby Brooks,WCC,D1,Gonzaga,San Diego,2023-24,2024-25,big_west_obpr
