player_name,source_school,source_season,target_conference,source_level,source_games,college_stat_seasons_before_transfer,college_stat_seasons_source,source_url,outcome_url,needs_manual_review
J.P. Moorman II,Temple,2020-21,Big West,D1,16,4.0,data/cache/sports_reference_d1_profile_audit/jp-moorman-1.html,https://www.sports-reference.com/cbb/schools/temple/men/2021.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2022.html,False
Brayden Fagbemi,Central Arkansas,2024-25,Big West,D1,31,2.0,data/cache/sports_reference_d1_profile_audit/brayden-fagbemi-1.html,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2025.html,https://www.sports-reference.com/cbb/schools/california-davis/men/2026.html,False
Landon Seaman,Menlo,2024-25,Big West,D2,26,5.0,"manual_college_stat_seasons_override: nan (Five played seasons at Menlo, then Cal State Fullerton)",https://menloathletics.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/landon-seaman-1.html,False
Kyle Owens,Montana,2021-22,Big West,D1,25,3.0,data/cache/sports_reference_d1_profile_audit/kyle-owens-1.html,https://www.sports-reference.com/cbb/schools/montana/men/2022.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2023.html,False
Rob Diaz III,Cal Poly Humboldt,2024-25,Big West,D2,29,2.0,"manual_college_stat_seasons_override: https://basketball.realgm.com/player/Rob-Diaz-II/Summary/220478 (2023-24 Cal Poly Humboldt, 2024-25 Cal Poly Humboldt; then Long Beach State)",https://humboldtathletics.com/sports/mens-basketball/roster/rob-diaz-iii/10223,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,False
Gianni Hunt,Sacramento State,2022-23,Big West,D1,32,4.0,data/cache/sports_reference_d1_profile_audit/gianni-hunt-1.html,https://www.sports-reference.com/cbb/schools/sacramento-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2024.html,False
Emanuel Prospere II,Missouri–St. Louis,2024-25,Big West,D2,32,5.0,"manual_college_stat_seasons_override: https://basketball.realgm.com/player/Emanuel-Prospere-II/Summary/177778 (2020-21 Midland, 2021-22 Kaskaskia, 2022-23 Kaskaskia, 2023-24 Missouri-St. Louis, 2024-25 Missouri-St. Louis; then UC San Diego)",https://umsltritons.com/sports/mens-basketball/roster/emanuel-prospere-ii/4207,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,False
Dre Bullock,South Dakota,2024-25,Big West,D1,30,5.0,data/cache/sports_reference_roster_diff_profiles/quandre-bullock-1.html,https://www.sports-reference.com/cbb/schools/south-dakota/men/2025.html,https://hawaiiathletics.com/sports/mens-basketball/stats/2025-26,False
Kane Milling,Nevada,2020-21,Big West,D1,26,2.0,data/cache/sports_reference_d1_profile_audit/kane-milling-1.html,https://www.sports-reference.com/cbb/schools/nevada/men/2021.html,https://www.sports-reference.com/cbb/schools/california-davis/men/2022.html,False
Marvin McGhee IV,Cal State Bakersfield,2024-25,Big West,D1,33,2.0,data/cache/sports_reference_d1_profile_audit/marvin-mcghee-iv-1.html,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2025.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2026.html,False
Harrison Carrington,Colorado,2024-25,Big West,D1,30,2.0,data/cache/sports_reference_d1_profile_audit/harrison-carrington-1.html,https://www.sports-reference.com/cbb/schools/colorado/men/2025.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2026.html,False
Osiris Grady,Utah Valley,2024-25,Big West,D1,32,2.0,data/cache/sports_reference_d1_profile_audit/osiris-grady-1.html,https://www.sports-reference.com/cbb/schools/utah-valley/men/2025.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,False
Alex Chaikin,Lafayette,2024-25,Big West,D1,32,1.0,data/cache/sports_reference_d1_profile_audit/alex-chaikin-1.html,https://www.sports-reference.com/cbb/schools/lafayette/men/2025.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,False
