player_name,target_conference,source_school,source_conference,source_level,destination_school,first_big_west_season,actual,cv_prediction,cv_error,abs_error,source_games,source_mpg,source_ppg,source_rpg,source_apg,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_conf_power,destination_conf_power,conf_power_delta,position,height_in,weight_lbs,outcome_tier,initial_tags,suggested_review_reason,source_url,outcome_url
Fousseyni Drame,Atlantic 10,La Salle,A-10,D1,Duquesne,2023-24,3.86,0.9168690869046262,-2.9431309130953736,2.9431309130953736,34,26.1,8.8,5.3,0.7,13.486590038314176,8.122605363984674,1.0727969348659003,34.48,35.42,0.9400000000000048,F,6-7,192.0,Target-conference starter/plus rotation,under_predicted_breakout;real_prior_role_underweighted,"Player already had real minutes, but model still missed the breakout.",https://www.sports-reference.com/cbb/players/fousseyni-drame-1.html,https://www.sports-reference.com/cbb/players/fousseyni-drame-1.html
James O'Donnell,WCC,San Francisco,WCC,D1,Portland,2025-26,-0.34,2.58512935671838,2.92512935671838,2.92512935671838,35,12.6,2.1,2.6,0.5,6.666666666666667,8.253968253968255,1.5873015873015874,36.22,35.95,-0.269999999999996,F,6-9,230.0,Target-conference rotation,over_predicted_translation,over_predicted_translation,https://www.sports-reference.com/cbb/players/james-odonnell-2.html,https://www.sports-reference.com/cbb/players/james-odonnell-2.html
Damarion Dennis,Mountain West,Texas A&M–Corpus Christi,Southland,D1,Wyoming,2025-26,5.02,2.105533552428464,-2.9144664475715354,2.9144664475715354,34,17.9,6.7,1.9,1.3,14.972067039106149,4.245810055865922,2.905027932960894,26.63,37.82,11.19,G,6-1,168.0,Target-conference starter/plus rotation,under_predicted_breakout,under_predicted_breakout,https://www.sports-reference.com/cbb/players/damarion-dennis-1.html,https://www.sports-reference.com/cbb/players/damarion-dennis-1.html
O'mar Stanley,Mountain West,St. John's (NY),Big East,D1,Boise State,2023-24,4.69,1.7800144831736553,-2.909985516826345,2.909985516826345,31,15.1,4.7,2.7,0.4,12.450331125827814,7.152317880794702,1.0596026490066226,42.46,38.07,-4.390000000000001,F,6-8,240.0,Target-conference impact starter,under_predicted_breakout,under_predicted_breakout,https://www.sports-reference.com/cbb/players/omar-stanley-1.html,https://www.sports-reference.com/cbb/players/omar-stanley-1.html
Carlos Stewart,WCC,Louisiana State,SEC,D1,Santa Clara,2024-25,3.34,0.4453512024280601,-2.8946487975719397,2.8946487975719397,13,19.5,4.7,2.2,1.0,9.64102564102564,4.512820512820513,2.051282051282051,42.64,36.22,-6.420000000000002,G,6-1,185.0,Target-conference impact starter,under_predicted_breakout,under_predicted_breakout,https://www.sports-reference.com/cbb/players/carlos-stewart-1.html,https://www.sports-reference.com/cbb/players/carlos-stewart-1.html
"Marcus Adams, Jr.",Big West,Brigham Young,Big XII,D1,Cal State Northridge,2024-25,4.1,1.2107612584139402,-2.889238741586059,2.889238741586059,1,8.0,2.0,2.0,1.0,10.0,10.0,5.0,44.56,30.41,-14.150000000000002,F,80.0,195.0,Target-conference impact starter,under_predicted_breakout;low_source_minutes;power_drop_breakout,Prior box score understated player because source role was tiny.,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html
E.J. Anosike,Big West,Tennessee,SEC,D1,Cal State Fullerton,2021-22,3.23,0.3679365682679409,-2.862063431732059,2.862063431732059,22,8.5,1.7,1.9,0.3,8.0,8.941176470588236,1.411764705882353,40.37,28.77,-11.599999999999998,F,79.0,236.0,Target-conference impact starter,under_predicted_breakout;low_source_minutes;power_drop_breakout,Prior box score understated player because source role was tiny.,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2022.html
Christian Gray,Big West,Fresno State,Mountain West,D1,Cal State Northridge,2021-22,-2.33,0.5062703964594131,2.836270396459413,2.836270396459413,18,13.7,5.3,3.0,0.4,15.474452554744529,8.75912408759124,1.1678832116788322,32.99,28.77,-4.220000000000002,F,78.0,250.0,Limited target-conference role,over_predicted_translation;negative_outcome_overpredicted,"Model projected a playable outcome, but target-conference performance was negative.",https://www.sports-reference.com/cbb/schools/fresno-state/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2022.html
Paulius Murauskas,WCC,Arizona,Pac-12,D1,Saint Mary's,2024-25,4.58,1.774009191617922,-2.805990808382078,2.805990808382078,23,5.0,2.7,1.2,0.1,21.6,9.6,0.8,41.26,36.22,-5.039999999999999,F,6-8,225.0,Target-conference impact starter,under_predicted_breakout;low_source_minutes,Prior box score understated player because source role was tiny.,https://www.sports-reference.com/cbb/players/paulius-murauskas-1.html,https://www.sports-reference.com/cbb/players/paulius-murauskas-1.html
Elijah Price,Mountain West,Fresno State,MWC,D1,Nevada,2025-26,4.88,2.1279074666549516,-2.7520925333450483,2.7520925333450483,32,30.8,10.5,8.3,1.0,13.636363636363637,10.77922077922078,1.2987012987012987,37.82,37.82,0.0,F,6-9,195.0,Target-conference impact starter,under_predicted_breakout;real_prior_role_underweighted,"Player already had real minutes, but model still missed the breakout.",https://www.sports-reference.com/cbb/players/elijah-price-1.html,https://www.sports-reference.com/cbb/players/elijah-price-1.html
Zach Keller,Mountain West,Utah,Big 12,D1,Utah State,2025-26,-0.21,2.538635222507002,2.748635222507002,2.748635222507002,28,9.9,2.8,1.4,0.6,11.313131313131311,5.656565656565657,2.4242424242424243,45.35,37.82,-7.530000000000001,F,6-10,228.0,Limited target-conference role,over_predicted_translation;low_source_minutes,"over_predicted_translation, low_source_minutes",https://www.sports-reference.com/cbb/players/zach-keller-1.html,https://www.sports-reference.com/cbb/players/zach-keller-1.html
