player_name,player_slug,source_school,source_level,destination_school,first_big_west_season,missing_source_stats,missing_outcome_stats,reason
Aidan Rice,aidan-rice,Western Washington,D2,UC Riverside,2026-27,FALSE,TRUE,missing_big_west_outcome
Dallas Washington,dallas-washington,Long Beach State,D1,UC Riverside,2026-27,FALSE,TRUE,missing_big_west_outcome
Devon Malcolm,devon-malcolm,California Baptist,D1,UC Riverside,2026-27,FALSE,TRUE,missing_big_west_outcome
Easton Reagan,easton-reagan,Northwest Nazarene,D2,UC Riverside,2026-27,FALSE,TRUE,missing_big_west_outcome
"James Evans, Jr.",james-evans,Cal State Northridge,D1,UC Riverside,2026-27,FALSE,TRUE,missing_big_west_outcome
Tony Duckett,tony-duckett,Saint Mary's,D1,UC Riverside,2026-27,FALSE,TRUE,missing_big_west_outcome
Tyus Parrish-Tillman,tyus-parrish-tillman,Biola,D2,UC Riverside,2026-27,FALSE,TRUE,missing_big_west_outcome
Jordan Johnson,jordan-johnson8,Calhoun Community College,JUCO,UC San Diego,2026-27,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Kayde Dotson,kayde-dotson,Loyola Chicago,D1,UC San Diego,2026-27,FALSE,TRUE,missing_big_west_outcome
Olavi Suutela,olavi-suutela,Oregon State,D1,UC San Diego,2026-27,FALSE,TRUE,missing_big_west_outcome
Rahmir Barno,rahmir-barno,Florida Gulf Coast,D1,UC San Diego,2026-27,FALSE,TRUE,missing_big_west_outcome
Antonio Chol,antonio-chol,New Mexico,D1,UC Santa Barbara,2026-27,FALSE,TRUE,missing_big_west_outcome
"Declan Duru, Jr.",declan-duru,Texas,D1,UC Santa Barbara,2026-27,FALSE,TRUE,missing_big_west_outcome
Eric Dibami,eric-dibami,Florida International,D1,UC Santa Barbara,2026-27,FALSE,TRUE,missing_big_west_outcome
R.J. Smith,rj-smith2,DePaul,D1,UC Santa Barbara,2026-27,FALSE,TRUE,missing_big_west_outcome
Viljami Vartiainen,viljami-vartiainen,Weber State,D1,UC Santa Barbara,2026-27,FALSE,TRUE,missing_big_west_outcome
