target_conference,first_target_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Mountain West,2022-23,UNLV,Jackie Johnson,2022-23,UNLV,MWC,SO,G,25,0,13.5,337.5,0.3375,6.3,1.2,0.8,0.8,0.0,1.2,0.403,0.333,0.808,0.489,0.521523178807947,0.5178571428571429,0.17857142857142858,14.6,0.519,26.8,0.2,0.5,0.7,0.086,0.8,https://www.sports-reference.com/cbb/players/jackie-johnsoniii-1.html
Mountain West,2022-23,UNLV,Luis Rodriguez,2022-23,UNLV,MWC,SR,G,27,22,29.7,801.9,0.7424999999999999,10.7,5.7,1.1,1.7,0.1,1.2,0.405,0.295,0.794,0.476,0.518813033359193,0.48387096774193544,0.24731182795698922,16.4,0.514,19.6,1.2,1.5,2.7,0.134,3.2,https://www.sports-reference.com/cbb/players/luis-rodriguez-1.html
Mountain West,2022-23,UNLV,Shane Nowell,2022-23,UNLV,MWC,SO,G,18,6,16.7,300.59999999999997,0.4175,4.8,3.3,0.9,0.8,0.2,0.7,0.329,0.319,0.714,0.418,0.4590665646518745,0.5531914893617021,0.2553191489361702,12.5,0.453,18.1,0.2,0.5,0.7,0.1,1.0,https://www.sports-reference.com/cbb/players/shane-nowell-1.html
Mountain West,2023-24,UNLV,Jalen Hill,2023-24,UNLV,MWC,SR,F,7,7,30.0,210.0,0.75,10.7,6.1,1.7,1.1,0.6,1.3,0.54,0.333,0.864,0.56,0.6320888468809073,0.1267605633802817,0.4366197183098592,20.3,0.62,17.3,0.6,0.3,0.9,0.173,4.4,https://www.sports-reference.com/cbb/players/jalen-hill-2.html
Mountain West,2023-24,UNLV,Kalib Boone,2023-24,UNLV,MWC,SR,F,32,25,23.2,742.4,0.58,11.4,5.2,1.3,1.1,1.6,1.9,0.59,0.0,0.696,0.59,0.6190269331016508,0.0,0.4102564102564103,25.6,0.614,25.3,1.9,1.4,3.4,0.182,6.4,https://www.sports-reference.com/cbb/players/kalib-boone-1.html
Mountain West,2023-24,UNLV,Keylan Boone,2023-24,UNLV,MWC,SR,G,27,21,31.3,845.1,0.7825,12.7,6.8,1.4,0.8,1.1,1.1,0.419,0.35,0.734,0.514,0.5401497107859816,0.5420560747663552,0.22429906542056074,18.5,0.539,21.6,1.8,1.4,3.1,0.149,5.2,https://www.sports-reference.com/cbb/players/keylan-boone-1.html
Mountain West,2024-25,UNLV,Jace Whiting,2024-25,UNLV,MWC,JR,G,2,0,9.0,18.0,0.225,0.0,0.5,1.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,0.0,11.8,-0.1,0.0,0.0,-0.072,-10.0,https://www.sports-reference.com/cbb/players/jace-whiting-1.html
Mountain West,2024-25,UNLV,Jaden Henley,2024-25,UNLV,MWC,JR,G,28,27,29.4,823.1999999999999,0.735,12.5,4.2,1.8,1.6,0.1,2.0,0.433,0.351,0.864,0.498,0.5719253294289897,0.3763440860215054,0.3978494623655914,17.0,0.563,23.6,1.1,1.4,2.5,0.122,4.1,https://www.sports-reference.com/cbb/players/jaden-henley-1.html
Mountain West,2024-25,UNLV,Jailen Bedford,2024-25,UNLV,MWC,SR,G,33,8,23.3,768.9,0.5825,10.2,4.3,1.2,0.9,0.1,1.5,0.387,0.35,0.732,0.472,0.4890678941311852,0.4848484848484848,0.1212121212121212,13.8,0.489,27.1,0.2,1.2,1.4,0.075,1.5,https://www.sports-reference.com/cbb/players/jailen-bedford-1.html
Mountain West,2024-25,UNLV,Julian Rishwain,2024-25,UNLV,MWC,SR,G,31,28,30.4,942.4,0.76,9.2,3.5,2.1,1.3,0.2,0.8,0.39,0.37,0.737,0.535,0.5523535062439962,0.782051282051282,0.15384615384615385,13.9,0.552,16.0,1.4,1.4,2.8,0.118,4.4,https://www.sports-reference.com/cbb/players/julian-rishwain-1.html
Mountain West,2025-26,UNLV,Al Green,2025-26,UNLV,MWC,SR,G,29,3,12.7,368.29999999999995,0.3175,4.4,1.2,0.7,0.6,0.2,0.5,0.407,0.311,0.875,0.495,0.5429417571569595,0.5675675675675675,0.21621621621621623,12.9,0.536,18.0,0.4,0.3,0.8,0.083,1.5,https://www.sports-reference.com/cbb/players/al-green-1.html
Mountain West,2025-26,UNLV,Dra Gibbs-Lawhorn,2025-26,UNLV,MWC,JR,G,35,35,34.1,1193.5,0.8525,20.7,3.1,2.5,1.5,0.5,2.5,0.497,0.414,0.838,0.595,0.6300219138056975,0.47297297297297297,0.25,20.9,0.625,27.5,3.2,1.1,4.3,0.143,5.7,https://www.sports-reference.com/cbb/players/dra-gibbs-lawhorn-1.html
Mountain West,2025-26,UNLV,Emmanuel Stephen,2025-26,UNLV,MWC,SO,F,24,13,15.5,372.0,0.3875,3.5,4.2,0.3,0.4,0.7,0.8,0.514,0.0,0.423,0.514,0.5022962112514351,0.0,0.3666666666666667,10.9,0.504,13.7,0.2,0.4,0.7,0.073,-2.7,https://www.sports-reference.com/cbb/players/emmanuel-stephen-1.html
Mountain West,2025-26,UNLV,Howie Fleming,2025-26,UNLV,MWC,SR,G,32,27,29.0,928.0,0.725,9.0,6.3,3.7,1.2,0.1,2.0,0.439,0.313,0.802,0.5,0.5681818181818182,0.393939393939394,0.4545454545454546,15.0,0.561,17.0,1.3,1.2,2.5,0.107,1.7,https://www.sports-reference.com/cbb/players/howard-flemingjr-1.html
Mountain West,2025-26,UNLV,Kimani Hamilton,2025-26,UNLV,MWC,SR,F,35,35,29.3,1025.5,0.7325,12.8,4.9,2.3,1.2,0.4,1.6,0.477,0.343,0.727,0.531,0.5763688760806917,0.31182795698924726,0.4408602150537634,17.8,0.571,21.5,2.3,1.0,3.3,0.13,2.7,https://www.sports-reference.com/cbb/players/kimani-hamilton-1.html
Mountain West,2025-26,UNLV,Ladji Dembele,2025-26,UNLV,MWC,JR,F,5,3,20.0,100.0,0.5,5.2,4.2,1.4,0.6,0.8,1.2,0.37,0.286,0.5,0.444,0.4520166898470097,0.5185185185185185,0.14814814814814814,10.2,0.45,17.2,0.0,0.1,0.1,0.051,-3.2,https://www.sports-reference.com/cbb/players/ladji-dembele-1.html
Mountain West,2022-23,New Mexico,Josiah Allick,2022-23,New Mexico,MWC,SR,F,34,34,31.9,1084.6,0.7975,8.4,7.3,1.4,0.5,0.8,1.6,0.557,0.158,0.667,0.571,0.5952380952380952,0.18333333333333335,0.39999999999999997,14.2,0.592,13.3,1.8,1.3,3.1,0.115,2.2,https://www.sports-reference.com/cbb/players/josiah-allick-1.html
Mountain West,2022-23,New Mexico,Morris Udeze,2022-23,New Mexico,MWC,SR,C,34,34,31.8,1081.2,0.795,16.4,9.6,1.4,0.6,0.8,2.1,0.61,0.0,0.627,0.61,0.6327160493827161,0.0,0.6435643564356436,24.2,0.622,23.6,3.4,1.6,5.0,0.186,4.6,https://www.sports-reference.com/cbb/players/morris-udeze-1.html
