target_conference,first_target_season,destination_school,player_name,player_key,source_school,source_conference,source_level,source_season,class,position,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,sports_reference_player_url,source_url,candidate_action
Mountain West,2022-23,UNLV,Isaiah Cottrell,isaiah cottrell,West Virginia,Big 12,D1,2021-22,SO,F,6-10,240,33,16.1,4.2,2.8,0.5,0.2,0.7,0.9,.340,.319,.543,.388,https://www.sports-reference.com/cbb/players/isaiah-cottrell-1.html,https://www.sports-reference.com/cbb/players/isaiah-cottrell-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,UNLV,Jackie Johnson,jackie johnson,Duquesne,A-10,D1,2021-22,FR,G,5-11,185,30,19.4,9.5,1.5,1.2,0.6,0.1,1.6,.424,.373,.776,.508,https://www.sports-reference.com/cbb/players/jackie-johnsoniii-1.html,https://www.sports-reference.com/cbb/players/jackie-johnsoniii-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,UNLV,Luis Rodriguez,luis rodriguez,Ole Miss,SEC,D1,2021-22,JR,G,6-6,210,32,26.9,6.6,5.5,1.8,1.3,0.3,1.2,.353,.304,.648,.429,https://www.sports-reference.com/cbb/players/luis-rodriguez-1.html,https://www.sports-reference.com/cbb/players/luis-rodriguez-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2022-23,UNLV,Shane Nowell,shane nowell,Arizona,Pac-12,D1,2021-22,FR,G,6-6,210,19,3.5,0.8,0.8,0.3,0.2,0.1,0.4,.333,.200,1.000,.361,https://www.sports-reference.com/cbb/players/shane-nowell-1.html,https://www.sports-reference.com/cbb/players/shane-nowell-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2023-24,UNLV,Jalen Hill,jalen hill,Oklahoma,Big 12,D1,2022-23,SR,F,6-7,225,32,32.7,9.7,5.8,1.3,0.8,0.6,1.4,.498,.291,.814,.535,https://www.sports-reference.com/cbb/players/jalen-hill-2.html,https://www.sports-reference.com/cbb/players/jalen-hill-2.html,add_transfer_row_and_d1_source_stats
Mountain West,2023-24,UNLV,Kalib Boone,kalib boone,Oklahoma State,Big 12,D1,2022-23,SR,F,6-9,210,36,21.3,10.6,4.9,1.0,0.7,1.2,1.8,.584,.250,.757,.588,https://www.sports-reference.com/cbb/players/kalib-boone-1.html,https://www.sports-reference.com/cbb/players/kalib-boone-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2023-24,UNLV,Keylan Boone,keylan boone,Pacific,WCC,D1,2022-23,SR,G,6-8,200,27,23.1,13.9,4.2,0.8,0.6,0.4,1.1,.477,.410,.814,.582,https://www.sports-reference.com/cbb/players/keylan-boone-1.html,https://www.sports-reference.com/cbb/players/keylan-boone-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2024-25,UNLV,Jace Whiting,jace whiting,Boise State,MWC,D1,2023-24,SO,G,6-2,185,33,14.3,3.3,1.7,1.1,0.5,0.0,0.7,.482,.500,.813,.572,https://www.sports-reference.com/cbb/players/jace-whiting-1.html,https://www.sports-reference.com/cbb/players/jace-whiting-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2024-25,UNLV,Jaden Henley,jaden henley,DePaul,Big East,D1,2023-24,SO,G,6-7,200,32,24.4,8.6,2.7,1.3,0.9,0.2,1.8,.436,.269,.755,.471,https://www.sports-reference.com/cbb/players/jaden-henley-1.html,https://www.sports-reference.com/cbb/players/jaden-henley-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2024-25,UNLV,Jailen Bedford,jailen bedford,Oral Roberts,Summit,D1,2023-24,JR,G,6-4,181,31,30.3,14.6,6.4,0.9,0.7,0.1,1.8,.423,.373,.775,.511,https://www.sports-reference.com/cbb/players/jailen-bedford-1.html,https://www.sports-reference.com/cbb/players/jailen-bedford-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2024-25,UNLV,Julian Rishwain,julian rishwain,Florida,SEC,D1,2023-24,SR,G,6-5,190,8,7.8,1.6,1.6,0.8,0.3,0.0,0.0,.364,.400,.500,.545,https://www.sports-reference.com/cbb/players/julian-rishwain-1.html,https://www.sports-reference.com/cbb/players/julian-rishwain-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,UNLV,Al Green,al green,Louisiana Tech,CUSA,D1,2024-25,JR,G,6-3,185,30,24.7,10.2,2.3,0.9,0.7,0.1,0.8,.441,.421,.808,.559,https://www.sports-reference.com/cbb/players/al-green-1.html,https://www.sports-reference.com/cbb/players/al-green-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,UNLV,Dra Gibbs-Lawhorn,dra gibbs lawhorn,Illinois,Big Ten,D1,2024-25,SO,G,6-1,185,35,14.9,5.9,1.6,0.5,0.3,0.1,0.7,.443,.255,.806,.514,https://www.sports-reference.com/cbb/players/dra-gibbs-lawhorn-1.html,https://www.sports-reference.com/cbb/players/dra-gibbs-lawhorn-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,UNLV,Emmanuel Stephen,emmanuel stephen,Arizona,Big 12,D1,2024-25,FR,F,6-11,230,8,3.0,1.3,1.3,0.1,0.3,0.1,0.3,1.000,,.000,1.000,https://www.sports-reference.com/cbb/players/emmanuel-stephen-1.html,https://www.sports-reference.com/cbb/players/emmanuel-stephen-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,UNLV,Howie Fleming,howie fleming,Texas–Rio Grande Valley,Southland,D1,2024-25,SR,G,6-5,190,31,26.6,12.3,6.4,2.4,0.8,0.2,2.2,.560,.422,.702,.637,https://www.sports-reference.com/cbb/players/howard-flemingjr-1.html,https://www.sports-reference.com/cbb/players/howard-flemingjr-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,UNLV,Kimani Hamilton,kimani hamilton,High Point,Big South,D1,2024-25,JR,F,6-7,215,35,24.2,13.1,4.6,2.2,1.0,0.4,1.8,.520,.322,.723,.565,https://www.sports-reference.com/cbb/players/kimani-hamilton-1.html,https://www.sports-reference.com/cbb/players/kimani-hamilton-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,UNLV,Ladji Dembele,ladji dembele,Iowa,Big Ten,D1,2024-25,SO,F,6-8,250,33,16.7,4.5,3.5,0.6,0.3,0.2,0.6,.467,.382,.714,.520,https://www.sports-reference.com/cbb/players/ladji-dembele-1.html,https://www.sports-reference.com/cbb/players/ladji-dembele-1.html,add_transfer_row_and_d1_source_stats
Mountain West,2025-26,UNLV,Myles Che,myles che,UC Irvine,Big West,D1,2024-25,SO,G,6-2,190,38,28.6,12.1,2.4,2.8,0.7,0.0,2.5,.401,.429,.841,.479,https://www.sports-reference.com/cbb/players/myles-che-1.html,https://www.sports-reference.com/cbb/players/myles-che-1.html,add_transfer_row_and_d1_source_stats
