priority,player_name,player_slug,source_school,source_school_slug,source_level,destination_school,destination_school_slug,first_big_west_season,expected_source_season,has_big_west_outcome,model_training_window,local_cache_status,recommended_next_step,current_missing_reason,source_url
5,Anthony Moore,anthony-moore3,Weber State,weber-state,D1,Cal Poly,cal-poly,2026-27,2025-26,FALSE,FALSE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/anthony-moore3
5,Marley Zeller,marley-zeller,Loyola Marymount,loyola-marymount,D1,Cal State Fullerton,cal-state-fullerton,2026-27,2025-26,FALSE,FALSE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/marley-zeller
5,Henry Lau,henry-cody-lau,Pittsburgh,pittsburgh,D1,Long Beach State,long-beach-state,2026-27,2025-26,FALSE,FALSE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/henry-cody-lau
5,Rockwell Reynolds,rockwell-reynolds,Citrus College,citrus-college2,JUCO,Cal State Fullerton,cal-state-fullerton,2026-27,2025-26,FALSE,FALSE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/rockwell-reynolds
5,Daniel Culberson,daniel-culberson,Howard College,howard-college2,JUCO,Cal State Northridge,cal-state-northridge,2026-27,2025-26,FALSE,FALSE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/daniel-culberson
5,Blake Bahr,blake-bahr,Snow College,snow-college2,JUCO,Long Beach State,long-beach-state,2026-27,2025-26,FALSE,FALSE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/blake-bahr
5,McCaden Adams,mccaden-adams,Snow College,snow-college2,JUCO,Long Beach State,long-beach-state,2026-27,2025-26,FALSE,FALSE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/mccaden-adams
5,Jordan Johnson,jordan-johnson8,Calhoun Community College,calhoun-community-college,JUCO,UC San Diego,uc-san-diego,2026-27,2025-26,FALSE,FALSE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/jordan-johnson8
5,Zach Lee,zach-lee2,Loyola University New Orleans,loyola-university-new-orleans,NAIA,Cal State Bakersfield,cal-state-bakersfield,2026-27,2025-26,FALSE,FALSE,,manual_naia_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/zach-lee2
5,Andrew McConnell,andrew-mcconnell,Cumberland University,cumberland-university,NAIA,Cal State Fullerton,cal-state-fullerton,2026-27,2025-26,FALSE,FALSE,,manual_naia_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/andrew-mcconnell
