target_conference,first_target_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Atlantic 10,2022-23,La Salle,Hassan Drame,2022-23,La Salle,A-10,SR,F,34,26,21.9,744.5999999999999,0.5475,6.4,4.3,0.7,1.0,0.4,1.0,0.367,0.313,0.674,0.437,0.4656577415599535,0.4444444444444444,0.20634920634920637,12.2,0.461,18.1,0.5,0.9,1.4,0.073,-1.2,https://www.sports-reference.com/cbb/players/hassan-drame-1.html
Atlantic 10,2023-24,Loyola Chicago,Desmond Watson,2023-24,Loyola Chicago,A-10,JR,G,33,33,31.4,1036.2,0.7849999999999999,12.6,4.6,2.5,1.0,0.2,1.8,0.407,0.386,0.645,0.491,0.5227348157982078,0.43396226415094336,0.3113207547169811,13.8,0.516,22.7,1.1,1.7,2.9,0.11,2.3,https://www.sports-reference.com/cbb/players/desmond-watson-1.html
Atlantic 10,2024-25,Loyola Chicago,Francis Nwaokorie,2024-25,Loyola Chicago,A-10,SR,F,37,5,22.6,836.2,0.5650000000000001,5.4,4.9,0.6,0.6,0.4,0.5,0.43,0.361,0.71,0.535,0.5823986194995686,0.5789473684210527,0.5,13.2,0.575,11.9,1.5,1.4,2.8,0.135,0.8,https://www.sports-reference.com/cbb/players/francis-nwaokorie-1.html
Atlantic 10,2025-26,Loyola Chicago,Dominick Harris,2025-26,Loyola Chicago,A-10,SR,G,7,2,6.3,44.1,0.1575,1.4,0.6,0.3,0.0,0.0,0.3,0.188,0.214,0.5,0.281,0.287828947368421,0.8695652173913044,0.13043478260869565,-2.8,0.295,22.7,-0.1,0.0,-0.1,-0.103,-14.7,https://www.sports-reference.com/cbb/players/dominick-harris-1.html
Atlantic 10,2025-26,Loyola Chicago,Kayde Dotson,2025-26,Loyola Chicago,A-10,SO,G,28,21,26.7,747.6,0.6675,10.5,2.8,2.0,0.5,0.0,1.6,0.397,0.38,0.77,0.53,0.5604184457728437,0.6904761904761905,0.2619047619047619,12.2,0.561,21.6,0.9,0.2,1.1,0.059,-1.1,https://www.sports-reference.com/cbb/players/kayde-dotson-1.html
Atlantic 10,2025-26,Rhode Island,Alex Crawford,2025-26,Rhode Island,A-10,SR,F,32,19,19.5,624.0,0.4875,5.0,3.3,0.2,0.7,0.6,1.1,0.39,0.273,0.488,0.448,0.4653760238272524,0.43750000000000006,0.27083333333333337,8.2,0.456,17.5,-0.3,1.1,0.7,0.047,-4.0,https://www.sports-reference.com/cbb/players/alex-crawford-1.html
Atlantic 10,2025-26,Richmond,Will Johnston,2025-26,Richmond,A-10,SR,G,32,32,27.5,880.0,0.6875,9.7,3.0,2.2,0.5,0.1,0.9,0.386,0.374,0.869,0.498,0.5427484333034914,0.5925925925925926,0.2345679012345679,12.4,0.54,18.6,1.2,0.8,2.0,0.093,-0.6,https://www.sports-reference.com/cbb/players/will-johnston-2.html
Atlantic 10,2023-24,Saint Louis,Michael Meadows,2023-24,Saint Louis,A-10,SR,G,17,11,25.0,425.0,0.625,5.7,2.1,3.2,0.5,0.1,1.2,0.419,0.276,0.739,0.465,0.49860041987403786,0.33333333333333337,0.27450980392156865,10.2,0.5,14.0,0.4,0.0,0.4,0.035,-3.2,https://www.sports-reference.com/cbb/players/michael-meadows-1.html
Atlantic 10,2024-25,Saint Louis,Kilian Brockhoff,2024-25,Saint Louis,A-10,SO,F,23,0,4.3,98.89999999999999,0.1075,1.3,0.5,0.3,0.1,0.0,0.3,0.346,0.19,0.7,0.423,0.5094043887147336,0.8181818181818181,0.36363636363636365,6.9,0.472,19.6,0.0,0.1,0.1,0.044,-5.7,https://www.sports-reference.com/cbb/players/kilian-brockhoff-1.html
Atlantic 10,2025-26,Saint Louis,Quentin Jones,2025-26,Saint Louis,A-10,JR,G,35,33,26.5,927.5,0.6625,9.1,3.9,3.0,0.9,0.9,1.9,0.453,0.362,0.8,0.523,0.5750758341759352,0.391304347826087,0.3333333333333333,13.7,0.566,18.2,1.3,1.9,3.2,0.14,3.4,https://www.sports-reference.com/cbb/players/quentin-jones-3.html
Atlantic 10,2023-24,VCU,Connor Odom,2023-24,VCU,A-10,SR,G,1,0,1.0,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.6,0.0,53.4,0.0,0.0,0.0,-0.725,-41.3,https://www.sports-reference.com/cbb/players/connor-odom-1.html
Atlantic 10,2023-24,VCU,Max Shulga,2023-24,VCU,A-10,SR,G,37,37,32.8,1213.6,0.82,14.0,4.6,3.6,0.9,0.3,2.0,0.446,0.415,0.876,0.578,0.6520119225037257,0.6363636363636362,0.5,19.7,0.643,21.1,3.6,1.8,5.5,0.181,6.8,https://www.sports-reference.com/cbb/players/max-shulga-1.html
Atlantic 10,2023-24,VCU,Sean Bairstow,2023-24,VCU,A-10,SR,G,25,24,33.0,825.0,0.825,10.0,4.7,3.7,0.5,0.0,1.7,0.399,0.254,0.814,0.431,0.48281189648512934,0.25806451612903225,0.25806451612903225,11.9,0.477,19.7,0.8,1.0,1.8,0.087,-0.2,https://www.sports-reference.com/cbb/players/sean-bairstow-1.html
