season,conference,level,power,source_file,source_url,source_column
2024-25,American,D1,34.55,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Atlantic 10,D1,34.66,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Big East,D1,43.33,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Big Sky,D1,28.35,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Big South,D1,28.2,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Big Ten,D1,45.57,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Big West,D1,30.41,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Big XII,D1,45.35,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,CCAA,D2,13.01,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,GLVC,D2,15.22,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Horizon,D1,28.35,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,MAAC,D1,25.17,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,MAC,D1,28.35,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,MEAC,D1,21.75,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Missouri Valley,D1,34.04,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Mountain West,D1,37.82,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Northeast,D1,21.05,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Ohio Valley,D1,24.35,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,PacWest,D2,12.92,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Patriot League,D1,24.08,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,SEC,D1,46.93,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,SSC,D2,14.22,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,SWAC,D1,20.49,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Southland,D1,26.63,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Summit League,D1,28.72,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,Sun Belt,D1,29.29,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,WAC,D1,30.37,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2024-25,West Coast,D1,36.22,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2025-26,Big West,D1,29.37,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
2025-26,West Coast,D1,35.95,Massey Ratings 20-26 Uncleaned - Sheet1.csv,,Pwr
