first_wcc_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
2024-25,Pacific,Jazz Gardner,2024-25,Pacific,WCC,SO,C,33,27,17.6,580.8000000000001,0.44000000000000006,4.6,3.8,0.4,0.2,0.6,0.6,0.602,0.5,0.444,0.606,0.6020942408376962,0.02777777777777778,0.1388888888888889,13.7,0.597,12.9,0.8,0.4,1.2,0.084,-2.7,https://www.sports-reference.com/cbb/players/jazz-gardner-1.html
2024-25,Pacific,Kris Keinys,2024-25,Pacific,WCC,SO,F,21,0,8.1,170.1,0.20249999999999999,2.6,1.8,0.1,0.3,0.1,0.2,0.528,0.273,0.583,0.569,0.5952380952380952,0.29411764705882354,0.6470588235294118,14.6,0.58,15.7,0.3,0.2,0.5,0.11,-2.5,https://www.sports-reference.com/cbb/players/kris-keinys-1.html
2024-25,Pacific,Lamar Washington,2024-25,Pacific,WCC,JR,G,33,33,34.3,1131.8999999999999,0.8574999999999999,13.5,5.1,5.8,1.7,0.2,3.9,0.401,0.296,0.84,0.447,0.5034307875894988,0.31666666666666665,0.26666666666666666,14.8,0.496,26.0,0.4,1.1,1.5,0.053,-1.1,https://www.sports-reference.com/cbb/players/lamar-washington-1.html
2024-25,Pacific,Petar Krivokapic,2024-25,Pacific,WCC,SR,G,33,6,26.6,877.8000000000001,0.665,7.2,2.9,1.1,0.3,0.1,0.7,0.35,0.329,0.75,0.47,0.501952035694367,0.7272727272727273,0.196969696969697,8.5,0.498,15.2,0.7,0.4,1.0,0.046,-2.9,https://www.sports-reference.com/cbb/players/petar-krivokapic-1.html
2025-26,Pacific,Alexis Marmolejos,2025-26,Pacific,WCC,SR,G,25,0,9.2,229.99999999999997,0.22999999999999998,3.6,1.6,0.3,0.2,0.1,0.4,0.354,0.302,0.842,0.451,0.49288061336254113,0.6363636363636365,0.24242424242424246,12.2,0.494,23.0,0.2,0.4,0.5,0.096,1.5,https://www.sports-reference.com/cbb/players/alexis-marmolejos-1.html
2025-26,Pacific,Isaac Jack,2025-26,Pacific,WCC,SR,C,33,33,21.7,716.1,0.5425,9.1,5.3,0.5,0.3,0.4,0.8,0.674,0.0,0.597,0.674,0.6722813238770685,0.0,0.37931034482758624,20.5,0.667,18.2,2.1,1.1,3.2,0.178,2.3,https://www.sports-reference.com/cbb/players/isaac-jack-1.html
2025-26,Pacific,Jaden Clayton,2025-26,Pacific,WCC,SR,G,33,24,30.5,1006.5,0.7625,7.9,3.3,6.4,1.1,0.0,2.5,0.369,0.302,0.75,0.44,0.47890397672162954,0.4666666666666667,0.22666666666666666,12.0,0.474,18.3,0.8,1.6,2.4,0.094,0.6,https://www.sports-reference.com/cbb/players/jaden-clayton-1.html
2025-26,Pacific,Justin Rochelin,2025-26,Pacific,WCC,JR,G,33,33,27.2,897.6,0.6799999999999999,9.1,6.4,1.0,0.9,0.2,1.8,0.45,0.381,0.798,0.523,0.5833333333333333,0.3731343283582089,0.3731343283582089,13.6,0.571,18.5,1.0,1.7,2.6,0.117,1.8,https://www.sports-reference.com/cbb/players/justin-rochelin-2.html
2025-26,Pacific,Kajus Kublickas,2025-26,Pacific,WCC,JR,G,33,9,20.1,663.3000000000001,0.5025000000000001,5.6,2.5,3.0,0.4,0.0,1.9,0.357,0.278,0.714,0.421,0.4707464694014794,0.4615384615384615,0.3269230769230769,7.9,0.466,20.2,0.0,0.9,0.9,0.053,-3.5,https://www.sports-reference.com/cbb/players/kajus-kublickas-1.html
2025-26,Pacific,KC Ibekwe,2025-26,Pacific,WCC,SR,C,32,0,9.3,297.6,0.2325,3.8,1.6,0.3,0.2,0.3,0.8,0.596,0.0,0.296,0.596,0.5842558425584256,0.0,0.27586206896551724,13.1,0.562,22.9,0.1,0.5,0.5,0.073,-1.8,https://www.sports-reference.com/cbb/players/kc-ibekwe-1.html
2025-26,Pacific,TJ Wainwright,2025-26,Pacific,WCC,SR,G,33,33,31.8,1049.4,0.795,13.0,3.8,1.4,0.7,0.0,1.5,0.417,0.388,0.92,0.52,0.564628214037526,0.5238095238095238,0.21904761904761902,13.1,0.562,21.2,1.6,1.5,3.0,0.116,0.8,https://www.sports-reference.com/cbb/players/tj-wainwright-1.html
2022-23,Pepperdine,Boubacar Coulibaly,2022-23,Pepperdine,WCC,JR,F,12,1,17.8,213.60000000000002,0.445,5.8,4.5,0.6,0.4,1.3,1.2,0.56,0.0,0.464,0.56,0.5564082885648504,0.0,0.5476190476190476,15.2,0.545,17.4,0.2,0.3,0.4,0.079,-1.7,https://www.sports-reference.com/cbb/players/boubacar-coulibaly-1.html
2023-24,Pepperdine,Ethan Anderson,2023-24,Pepperdine,WCC,SR,G,33,33,24.7,815.1,0.6174999999999999,5.7,2.2,3.3,0.5,0.1,1.8,0.479,0.276,0.49,0.503,0.5125899280575539,0.18367346938775508,0.3061224489795918,9.4,0.505,15.4,0.2,0.5,0.8,0.038,-3.8,https://www.sports-reference.com/cbb/players/ethan-anderson-1.html
2024-25,Pepperdine,Alonso Faure,2024-25,Pepperdine,WCC,SR,F,27,0,7.6,205.2,0.19,2.3,2.3,0.3,0.1,0.1,0.5,0.532,0.0,0.619,0.532,0.560428849902534,0.11764705882352942,0.4705882352941177,13.5,0.553,17.4,0.2,0.2,0.4,0.074,-5.8,https://www.sports-reference.com/cbb/players/alonso-faure-1.html
