first_wcc_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
2024-25,Pepperdine,Mike Saunders,2024-25,Pepperdine,WCC,SR,G,17,0,7.3,124.1,0.1825,1.2,0.5,0.4,0.1,0.0,0.3,0.278,0.25,0.889,0.333,0.45454545454545453,0.45454545454545453,0.45454545454545453,3.9,0.449,11.1,0.0,0.0,0.0,0.005,-5.8,https://www.sports-reference.com/cbb/players/mike-saundersjr-1.html
2024-25,Pepperdine,Moe Odum,2024-25,Pepperdine,WCC,JR,G,35,35,33.3,1165.5,0.8324999999999999,13.1,3.2,7.5,1.2,0.0,2.6,0.452,0.379,0.793,0.532,0.5673943173943173,0.4230769230769231,0.25,18.1,0.564,21.5,2.6,0.8,3.3,0.114,1.9,https://www.sports-reference.com/cbb/players/moe-odum-1.html
2024-25,Pepperdine,Stefan Todorovic,2024-25,Pepperdine,WCC,SR,F,35,35,34.3,1200.5,0.8574999999999999,18.3,5.5,2.1,1.0,0.1,2.2,0.432,0.366,0.857,0.502,0.5687468920934858,0.38405797101449274,0.37681159420289856,17.9,0.563,27.1,2.3,0.9,3.2,0.106,1.6,https://www.sports-reference.com/cbb/players/stefan-todorovic-1.html
2024-25,Pepperdine,Zion Bethea,2024-25,Pepperdine,WCC,JR,G,30,13,21.6,648.0,0.54,7.4,2.9,0.7,1.2,0.1,0.8,0.356,0.395,0.56,0.471,0.4901960784313726,0.5882352941176471,0.25,11.2,0.483,19.7,0.1,0.6,0.8,0.049,-2.2,https://www.sports-reference.com/cbb/players/zion-bethea-1.html
2025-26,Pepperdine,Aaron Clark,2025-26,Pepperdine,WCC,JR,G,32,26,32.3,1033.6,0.8074999999999999,15.3,3.4,2.7,1.2,0.1,2.8,0.423,0.361,0.769,0.5,0.5502013808975834,0.4297520661157025,0.33884297520661155,14.4,0.543,25.9,0.9,0.6,1.5,0.058,-0.8,https://www.sports-reference.com/cbb/players/aaron-clark-1.html
2025-26,Pepperdine,Javon Cooley,2025-26,Pepperdine,WCC,SR,F,32,27,30.2,966.4,0.755,11.4,4.7,1.1,1.0,0.3,1.4,0.411,0.295,0.832,0.48,0.5367231638418078,0.4623655913978494,0.3225806451612903,13.0,0.532,20.1,0.9,0.7,1.6,0.067,-1.1,https://www.sports-reference.com/cbb/players/javon-cooley-1.html
2025-26,Pepperdine,Pavle Stosic,2025-26,Pepperdine,WCC,JR,F,31,12,16.2,502.2,0.40499999999999997,3.6,3.8,0.7,0.4,0.5,0.6,0.463,0.2,0.543,0.489,0.5022321428571429,0.25806451612903225,0.3548387096774194,12.1,0.502,13.0,0.5,0.4,0.8,0.065,-3.0,https://www.sports-reference.com/cbb/players/pavle-stosic-1.html
2025-26,Pepperdine,Preston Phillips,2025-26,Pepperdine,WCC,SR,F,3,0,11.7,35.099999999999994,0.2925,0.7,2.7,0.7,0.7,0.3,0.7,0.5,0.0,0.0,0.5,0.5,0.4285714285714286,0.0,8.5,0.5,5.7,0.0,0.0,0.0,0.037,0.8,https://www.sports-reference.com/cbb/players/preston-phillips-2.html
2025-26,Pepperdine,Stefan Cicic,2025-26,Pepperdine,WCC,SO,C,32,5,12.4,396.8,0.31,4.5,2.6,0.3,0.3,0.8,0.8,0.532,0.231,0.558,0.546,0.5664652567975831,0.11764705882352942,0.3823529411764706,15.2,0.552,19.5,0.3,0.3,0.6,0.061,-3.2,https://www.sports-reference.com/cbb/players/stefan-cicic-1.html
2025-26,Pepperdine,Styles Phipps,2025-26,Pepperdine,WCC,SO,G,32,32,34.0,1088.0,0.85,13.4,5.9,5.2,1.5,0.2,2.8,0.421,0.27,0.785,0.451,0.5293931731984829,0.21904761904761902,0.4666666666666667,16.7,0.519,23.0,1.5,0.9,2.4,0.087,0.7,https://www.sports-reference.com/cbb/players/styles-phipps-1.html
