player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_url,barttorvik_player_name,barttorvik_team,match_status,source_file
Dionte Bostick,dionte-bostick,Cal State Northridge,cal-state-northridge,2022-23,0.82644,https://barttorvik.com/playerstat.php?year=2023&p=73494,Dionte Bostick,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2023.csv
Mac Riniker,mac-riniker,Cal Poly,cal-poly,2024-25,1.06617,https://barttorvik.com/playerstat.php?year=2025&p=128023,Mac Riniker,Cal Poly,matched_player_and_team,Bart data/trank_data_2025.csv
Harrison Carrington,harrison-carrington,UC Irvine,uc-irvine,2025-26,1.57427,https://barttorvik.com/playerstat.php?year=2026&p=76967,Harrison Carrington,UC Irvine,matched_player_and_team,Bart data/trank_data_2026.csv
"De'Undrae Perteete, Jr.",deundrae-perteete,UC Riverside,uc-riverside,2025-26,1.13316,https://barttorvik.com/playerstat.php?year=2026&p=133866,De'Undrae Perteete,UC Riverside,matched_player_and_team,Bart data/trank_data_2026.csv
Joel Armotrading,joel-armotrading,UC Riverside,uc-riverside,2024-25,1.41976,https://barttorvik.com/playerstat.php?year=2025&p=77845,Joel Armotrading,UC Riverside,matched_player_and_team,Bart data/trank_data_2025.csv
Onyi Eyisi,onyi-eyisi,Cal State Northridge,cal-state-northridge,2021-22,2.31287,https://barttorvik.com/playerstat.php?year=2022&p=65528,Onyi Eyisi,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2022.csv
Chance Hunter,chance-hunter,Cal Poly,cal-poly,2022-23,0.222096,https://barttorvik.com/playerstat.php?year=2023&p=70894,Chance Hunter,Cal Poly,matched_player_and_team,Bart data/trank_data_2023.csv
Marcus Tsohonis,marcus-tsohonis,Long Beach State,long-beach-state,2022-23,1.32075,https://barttorvik.com/playerstat.php?year=2023&p=71982,Marcus Tsohonis,Long Beach St.,matched_player_and_team,Bart data/trank_data_2023.csv
Jordan Brinson,jordan-brinson,Cal State Northridge,cal-state-northridge,2023-24,-0.0901539,https://barttorvik.com/playerstat.php?year=2024&p=71663,Jordan Brinson,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2024.csv
Jamal Hartwell II,jamal-hartwell-ii,UC Riverside,uc-riverside,2022-23,1.27375,https://barttorvik.com/playerstat.php?year=2023&p=66294,Jamal Hartwell II,UC Riverside,matched_player_and_team,Bart data/trank_data_2023.csv
Colin Smith,colin-smith,UC Santa Barbara,uc-santa-barbara,2024-25,1.60146,https://barttorvik.com/playerstat.php?year=2025&p=77264,Colin Smith,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2025.csv
Isaiah Kerr,isaiah-kerr,Hawaii,hawaii,2025-26,0.550849,https://barttorvik.com/playerstat.php?year=2026&p=134592,Isaiah Kerr,Hawaii,matched_player_and_team,Bart data/trank_data_2026.csv
B.J. Kolly,bj-kolly,UC Riverside,uc-riverside,2025-26,0.643476,https://barttorvik.com/playerstat.php?year=2026&p=127644,BJ Kolly,UC Riverside,matched_player_and_team,Bart data/trank_data_2026.csv
Justin Rochelin,justin-rochelin,UC San Diego,uc-san-diego,2024-25,0.780742,https://barttorvik.com/playerstat.php?year=2025&p=75236,Justin Rochelin,UC San Diego,matched_player_and_team,Bart data/trank_data_2025.csv
Kyle Evans,kyle-evans,UC Irvine,uc-irvine,2024-25,1.04961,https://barttorvik.com/playerstat.php?year=2025&p=77459,Kyle Evans,UC Irvine,matched_player_and_team,Bart data/trank_data_2025.csv
Derrick Michael Xzavierro,derrick-michael-xzavierro,Long Beach State,long-beach-state,2024-25,0.66238,https://barttorvik.com/playerstat.php?year=2025&p=76904,Derrick Michael Xzavierro,Long Beach St.,matched_player_and_team,Bart data/trank_data_2025.csv
Pierre Crockrell II,pierre-crockrell-ii,UC Irvine,uc-irvine,2022-23,0.256959,https://barttorvik.com/playerstat.php?year=2023&p=71987,Pierre Crockrell II,UC Irvine,matched_player_and_team,Bart data/trank_data_2023.csv
Mahmoud Fofana,mahmoud-fofana,Cal State Northridge,cal-state-northridge,2023-24,0.241694,https://barttorvik.com/playerstat.php?year=2024&p=77843,Mahmoud Fofana,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2024.csv
Jacob Davison,jacob-davison,Cal Poly,cal-poly,2021-22,0.592103,https://barttorvik.com/playerstat.php?year=2022&p=48538,Jacob Davison,Cal Poly,matched_player_and_team,Bart data/trank_data_2022.csv
Tyler Beard,tyler-beard,Cal State Northridge,cal-state-northridge,2024-25,0.378339,https://barttorvik.com/playerstat.php?year=2025&p=74281,Tyler Beard,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2025.csv
Jailen Daniel-Dalton,jailen-daniel-dalton2,UC Riverside,uc-riverside,2025-26,0.496223,https://barttorvik.com/playerstat.php?year=2026&p=135344,Jailen Daniel-Dalton,UC Riverside,matched_player_and_team,Bart data/trank_data_2026.csv
Zion Richardson,zion-richardson,Cal State Fullerton,cal-state-fullerton,2024-25,1.64499,https://barttorvik.com/playerstat.php?year=2025&p=71542,Zion Richardson,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2025.csv
Donovan Oday,donovan-oday,Cal State Fullerton,cal-state-fullerton,2023-24,0.715954,https://barttorvik.com/playerstat.php?year=2024&p=77404,Donovan Oday,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2024.csv
Kieves Turner,kieves-turner,UC Santa Barbara,uc-santa-barbara,2024-25,1.14622,https://barttorvik.com/playerstat.php?year=2025&p=73818,Deuce Turner,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2025.csv
Emmanuel Tshimanga,emmanuel-tshimanga,UC San Diego,uc-san-diego,2022-23,1.249,https://barttorvik.com/playerstat.php?year=2023&p=70385,Emmanuel Tshimanga,UC San Diego,matched_player_and_team,Bart data/trank_data_2023.csv
Luke Turner,luke-turner,UC Riverside,uc-riverside,2022-23,0.86682,https://barttorvik.com/playerstat.php?year=2023&p=74796,Luke Turner,UC Riverside,matched_player_and_team,Bart data/trank_data_2023.csv
Ethan Igbanugo,ethan-igbanugo,Cal State Northridge,cal-state-northridge,2022-23,-0.0873994,https://barttorvik.com/playerstat.php?year=2023&p=65999,Ethan Igbanugo,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2023.csv
Shaquil Bender,shaquil-bender,Long Beach State,long-beach-state,2025-26,0.481159,https://barttorvik.com/playerstat.php?year=2026&p=77692,Shaquil Bender,Long Beach St.,matched_player_and_team,Bart data/trank_data_2026.csv
Max Murrell,max-murrell,UC Santa Barbara,uc-santa-barbara,2024-25,0.530444,https://barttorvik.com/playerstat.php?year=2025&p=72763,Max Murrell,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2025.csv
A.J. George,aj-george,Cal State Bakersfield,cal-state-bakersfield,2025-26,-0.419983,https://barttorvik.com/playerstat.php?year=2026&p=74782,AJ George,Cal St. Bakersfield,matched_player_and_team,Bart data/trank_data_2026.csv
Jaden Henderson,jaden-henderson,Cal State Fullerton,cal-state-fullerton,2025-26,0.708306,https://barttorvik.com/playerstat.php?year=2026&p=135045,Jaden Henderson,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2026.csv
Isaiah Lewis,isaiah-lewis2,Long Beach State,long-beach-state,2025-26,-0.193809,https://barttorvik.com/playerstat.php?year=2026&p=127556,Isaiah Lewis,Long Beach St.,matched_player_and_team,Bart data/trank_data_2026.csv
Bailey Nunn,bailey-nunn,Cal State Fullerton,cal-state-fullerton,2025-26,0.750752,https://barttorvik.com/playerstat.php?year=2026&p=78058,Bailey Nunn,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2026.csv
Marcus Greene,marcus-greene2,Hawaii,hawaii,2024-25,0.646476,https://barttorvik.com/playerstat.php?year=2025&p=74395,Marcus Greene,Hawaii,matched_player_and_team,Bart data/trank_data_2025.csv
Kobe Young,kobe-young,Cal State Fullerton,cal-state-fullerton,2024-25,-0.603892,https://barttorvik.com/playerstat.php?year=2025&p=75106,Kobe Young,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2025.csv
