first_wcc_season,destination_school,player_name,source_school,source_conference,source_level,source_season,class,position,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,source_url,candidate_action
2024-25,Pacific,Kris Keinys,Minnesota,Big Ten,D1,2023-24,FR,F,5,4.2,1.4,1.0,0.2,0.2,0.0,0.4,.600,1.000,,.700,https://www.sports-reference.com/cbb/players/kris-keinys-1.html,add_transfer_row_and_d1_source_stats
2024-25,Pacific,Lamar Washington,Texas Tech,Big 12,D1,2023-24,SO,G,30,8.9,2.1,1.5,0.8,0.3,0.0,0.6,.382,.235,.680,.418,https://www.sports-reference.com/cbb/players/lamar-washington-1.html,add_transfer_row_and_d1_source_stats
2024-25,Pacific,Petar Krivokapic,Florida International,CUSA,D1,2023-24,SR,G,33,19.6,7.2,1.5,0.7,0.7,0.0,1.0,.376,.308,.702,.479,https://www.sports-reference.com/cbb/players/petar-krivokapic-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pacific,Alexis Marmolejos,Lamar,Southland,D1,2024-25,JR,G,33,30.2,14.5,3.3,2.1,1.2,0.1,1.8,.409,.385,.765,.519,https://www.sports-reference.com/cbb/players/alexis-marmolejos-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pacific,Dominic Capriotti,Binghamton,AmEast,D1,2024-25,SO,G,4,3.5,0.0,0.5,0.0,0.0,0.0,0.3,.000,.000,,.000,https://www.sports-reference.com/cbb/players/dominic-capriotti-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pacific,Isaac Jack,Dayton,A-10,D1,2024-25,JR,C,21,8.4,3.2,2.0,0.3,0.1,0.1,0.5,.816,,.462,.816,https://www.sports-reference.com/cbb/players/isaac-jack-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pacific,Jaden Clayton,Maine,AmEast,D1,2024-25,JR,G,34,32.1,7.5,3.3,4.4,1.7,0.1,1.7,.423,.288,.766,.468,https://www.sports-reference.com/cbb/players/jaden-clayton-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pacific,Justin Rochelin,UC San Diego,Big West,D1,2024-25,SO,G,35,19.3,6.6,3.5,0.7,0.7,0.3,0.8,.463,.340,.688,.559,https://www.sports-reference.com/cbb/players/justin-rochelin-2.html,add_transfer_row_and_d1_source_stats
2025-26,Pacific,Kajus Kublickas,Florida,SEC,D1,2024-25,SO,G,6,4.2,0.7,1.2,0.3,0.0,0.0,0.0,.200,.000,1.000,.200,https://www.sports-reference.com/cbb/players/kajus-kublickas-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pacific,KC Ibekwe,Washington,Big Ten,D1,2024-25,JR,C,12,5.7,1.6,1.1,0.0,0.0,0.3,0.3,.583,,.500,.583,https://www.sports-reference.com/cbb/players/kc-ibekwe-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pacific,TJ Wainwright,Long Beach State,Big West,D1,2024-25,JR,G,29,30.0,13.4,2.7,1.7,0.9,0.0,1.4,.466,.407,.841,.564,https://www.sports-reference.com/cbb/players/tj-wainwright-1.html,add_transfer_row_and_d1_source_stats
