player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_url
Jefferson De La Cruz Monegro,jefferson-monegro,Cal State Fullerton,cal-state-fullerton,2025-26,,
Tanner Christensen,tanner-christensen,Hawaii,hawaii,2024-25,,
Yohan Traore,yohan-traore,UC Santa Barbara,uc-santa-barbara,2023-24,,
T.J. Wainwright,tj-wainwright,Long Beach State,long-beach-state,2024-25,,
Marcus Wilson,marcus-wilson,UC Davis,uc-davis,2025-26,,
DeSean Allen-Eikens,desean-allen-eikens,Cal State Northridge,cal-state-northridge,2022-23,,
Nordin Kapić,nordin-kapi,UC San Diego,uc-san-diego,2024-25,,
Myles Che,myles-che,UC Irvine,uc-irvine,2024-25,,
Kamaka Hepa,kamaka-hepa,Hawaii,hawaii,2021-22,,
Trevon Taylor,trevon-taylor,Cal Poly,cal-poly,2021-22,,
Andre Kelly,andre-kelly,UC Santa Barbara,uc-santa-barbara,2022-23,,
Ty Johnson,ty-johnson2,UC Davis,uc-davis,2022-23,,
Bol Dengdit,bol-dengdit,UC San Diego,uc-san-diego,2025-26,,
Brayden Fagbemi,brayden-fagbemi,UC Davis,uc-davis,2025-26,,
Kyle Owens,kyle-owens,UC Riverside,uc-riverside,2022-23,,
Landon Seaman,landon-seaman,Cal State Fullerton,cal-state-fullerton,2025-26,,
Rob Diaz III,robert-diaz,Long Beach State,long-beach-state,2025-26,,
Gianni Hunt,gianni-hunt,Cal State Northridge,cal-state-northridge,2023-24,,
Emanuel Prospere II,emanuel-prospere-ii,UC San Diego,uc-san-diego,2025-26,,
Kane Milling,kane-milling,UC Davis,uc-davis,2021-22,,
Osiris Grady,osiris-grady,UC Riverside,uc-riverside,2025-26,,
Alex Chaikin,alex-chaikin,UC San Diego,uc-san-diego,2025-26,,
Marvin McGhee IV,marvin-mcghee-iv,UC Santa Barbara,uc-santa-barbara,2025-26,,
Dionte Bostick,dionte-bostick,Cal State Northridge,cal-state-northridge,2022-23,,
Mac Riniker,mac-riniker,Cal Poly,cal-poly,2024-25,,
Harrison Carrington,harrison-carrington,UC Irvine,uc-irvine,2025-26,,
"De'Undrae Perteete, Jr.",deundrae-perteete,UC Riverside,uc-riverside,2025-26,,
Joel Armotrading,joel-armotrading,UC Riverside,uc-riverside,2024-25,,
Onyi Eyisi,onyi-eyisi,Cal State Northridge,cal-state-northridge,2021-22,,
Chance Hunter,chance-hunter,Cal Poly,cal-poly,2022-23,,
Marcus Tsohonis,marcus-tsohonis,Long Beach State,long-beach-state,2022-23,,
Jordan Brinson,jordan-brinson,Cal State Northridge,cal-state-northridge,2023-24,,
Jamal Hartwell II,jamal-hartwell-ii,UC Riverside,uc-riverside,2022-23,,
