first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
2021-22,Gonzaga,gonzaga,Will Graves,will graves,SR,G,6-5,185,https://www.sports-reference.com/cbb/players/will-graves-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
2022-23,Gonzaga,gonzaga,Abe Eagle,abe eagle,SO,F,6-9,225,https://www.sports-reference.com/cbb/players/abe-eagle-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
2022-23,Gonzaga,gonzaga,Anton Watson,anton watson,SR,F,6-8,225,https://www.sports-reference.com/cbb/players/anton-watson-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,returning_same_roster,cached,2021-22,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2022-23,Gonzaga,gonzaga,Ben Gregg,ben gregg,SO,F,6-10,225,https://www.sports-reference.com/cbb/players/ben-gregg-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,returning_same_roster,cached,2021-22,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2022-23,Gonzaga,gonzaga,Colby Brooks,colby brooks,SO,F,6-7,210,https://www.sports-reference.com/cbb/players/colby-brooks-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
2022-23,Gonzaga,gonzaga,Dominick Harris,dominick harris,SO,G,6-3,190,https://www.sports-reference.com/cbb/players/dominick-harris-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,not_on_previous_roster,cached,2021-22,Did not play - injury/redshirt,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
2022-23,Gonzaga,gonzaga,Drew Timme,drew timme,SR,F,6-10,235,https://www.sports-reference.com/cbb/players/drew-timme-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,returning_same_roster,cached,2021-22,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2022-23,Gonzaga,gonzaga,Efton Reid,efton reid,SO,C,6-11,238,https://www.sports-reference.com/cbb/players/efton-reid-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,not_on_previous_roster,cached,2021-22,Louisiana State,SEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,Gonzaga,gonzaga,Hunter Sallis,hunter sallis,SO,G,6-5,175,https://www.sports-reference.com/cbb/players/hunter-sallis-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,returning_same_roster,cached,2021-22,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2022-23,Gonzaga,gonzaga,Julian Strawther,julian strawther,JR,G,6-7,205,https://www.sports-reference.com/cbb/players/julian-strawther-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,returning_same_roster,cached,2021-22,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
