first_big_west_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,already_in_inbound_transfers,already_in_inbound_same_program,inbound_matched_first_big_west_season,inbound_source_school,inbound_source_level,model_ready_playable,model_source_level,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
2021-22,Cal State Bakersfield,cal-state-bakersfield,Ray Somerville,ray somerville,SO,C,6-11,230,https://www.sports-reference.com/cbb/players/ray-somerville-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,Shaun Williams,shaun williams,SO,G,6-3,175,https://www.sports-reference.com/cbb/players/shaun-williams-2.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,Shawn Stith,shawn stith,SR,F,6-8,265,https://www.sports-reference.com/cbb/players/shawn-stith-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal State Bakersfield,cal-state-bakersfield,Travis Henson,travis henson,JR,F,6-6,195,https://www.sports-reference.com/cbb/players/travis-henson-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2022-23,Cal State Bakersfield,cal-state-bakersfield,Cedquavious Hunter,cedquavious hunter,FR,G,6-0,170,https://www.sports-reference.com/cbb/players/cedquavious-hunter-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2023.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2022-23,Cal State Bakersfield,cal-state-bakersfield,Kaseem Watson,kaseem watson,FR,G,6-7,180,https://www.sports-reference.com/cbb/players/kaseem-watson-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2023.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2022-23,Cal State Bakersfield,cal-state-bakersfield,Marvin McGhee,marvin mcghee,JR,G,6-4,180,https://www.sports-reference.com/cbb/players/marvin-mcghee-iii-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2023.html,had_previous_team_cache,TRUE,TRUE,2022-23,South Georgia Technical College,JUCO,FALSE,,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2022-23,Cal State Bakersfield,cal-state-bakersfield,Modestas Kancleris,modestas kancleris,SO,F,6-9,195,https://www.sports-reference.com/cbb/players/modestas-kancleris-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2023.html,had_previous_team_cache,TRUE,TRUE,2022-23,Creighton,D1,TRUE,D1,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2022-23,Cal State Bakersfield,cal-state-bakersfield,Naseem Gaskin,naseem gaskin,JR,G,6-4,185,https://www.sports-reference.com/cbb/players/naseem-gaskin-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2023.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,2021-22,Did not play - juco,,JUCO,TRUE,add_transfer_row_and_find_juco_source_stats,possible_missing_transfer
2022-23,Cal State Bakersfield,cal-state-bakersfield,Ugnius Jarusevicius,ugnius jarusevicius,FR,F,6-10,220,https://www.sports-reference.com/cbb/players/ugnius-jarusevicius-1.html,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2023.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
