player_name,player_slug,destination_school,destination_school_slug,destination_conference,destination_level,source_school,source_school_slug,source_conference,source_level,transfer_year,first_big_west_season,commit_date,signed_date,enrolled_date,target_event_type,target_event_date,source_event_type,source_event_date,pathway_type,position,height,weight,class,hs_grad_year,juco_flag,redshirt_flag,model_training_window,phase1_d2_transfer_match,phase1_model_training_eligible,phase1_review_status,source_url
Tiger Cuff,tiger-cuff,Hawaii,hawaii,Big West,D1,No College Stats,no-college-stats,,HS,2026,2026-27,2026-04-14,,,COMMITMENT,2026-04-14,COMMITMENT,,hs_big_west,Shooting Guard,74,0,HS_SENIOR,2026,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/tiger-cuff
Zack Davidson,zack-davidson,Hawaii,hawaii,Big West,D1,Northern Arizona,northern-arizona,Big Sky,D1,2026,2026-27,2026-04-16,,,COMMITMENT,2026-04-16,TRANSFER,2026-03-26,d1_big_west,Power Forward,80,224,COLLEGE_SOPHOMORE,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/zack-davidson
Blake Bahr,blake-bahr,Long Beach State,long-beach-state,Big West,D1,Snow College,snow-college2,,JUCO,2026,2026-27,2026-04-08,,,COMMITMENT,2026-04-08,ENROLLMENT,2025-09-10,juco_big_west,Point Guard,74,195,COLLEGE_FRESHMAN,2022,TRUE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/blake-bahr
Brett Wright,brett-wright,Long Beach State,long-beach-state,Big West,D1,Trevecca Nazarene,trevecca-nazarene,GSC,D2,2026,2026-27,2026-04-23,,,COMMITMENT,2026-04-23,TRANSFER,2026-03-27,d2_big_west,Small Forward,79,195,COLLEGE_SOPHOMORE,2024,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/brett-wright
Colin Ruffin,colin-ruffin,Long Beach State,long-beach-state,Big West,D1,Missouri Southern,missouri-southern,MIAA,D2,2026,2026-27,2026-05-04,,,COMMITMENT,2026-05-04,TRANSFER,2026-03-28,d2_big_west,Point Guard,76,193,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/colin-ruffin
Grgur Brčić,grgur-bri,Long Beach State,long-beach-state,Big West,D1,Bucknell,bucknell,Patriot League,D1,2026,2026-27,2026-05-07,2026-06-04,,COMMITMENT,2026-05-07,TRANSFER,2026-04-06,d1_big_west,Center,82,235,COLLEGE_JUNIOR,2023,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/grgur-bri
Henry Lau,henry-cody-lau,Long Beach State,long-beach-state,Big West,D1,Pittsburgh,pittsburgh,ACC,D1,2026,2026-27,,2026-06-11,,SIGNING,2026-06-11,TRANSFER,2026-04-12,d1_big_west,Small Forward,79,195,COLLEGE_FRESHMAN,2025,FALSE,FALSE,FALSE,FALSE,,,https://www.verbalcommits.com/players/henry-cody-lau
Jack Payne,jack-payne,Long Beach State,long-beach-state,Big West,D1,Idaho,idaho,Big Sky,D1,2026,2026-27,2026-04-21,,,COMMITMENT,2026-04-21,TRANSFER,2026-03-23,d1_big_west,Shooting Guard,78,195,COLLEGE_JUNIOR,2022,FALSE,TRUE,FALSE,FALSE,,,https://www.verbalcommits.com/players/jack-payne
Jaden Tengan,jaden-tengan,Long Beach State,long-beach-state,Big West,D1,Cal State Monterey Bay,cal-state-monterey-bay,CCAA,D2,2026,2026-27,2026-05-18,2026-05-28,,COMMITMENT,2026-05-18,TRANSFER,2026-03-11,d2_big_west,Point Guard,71,165,COLLEGE_JUNIOR,2022,FALSE,TRUE,FALSE,TRUE,FALSE,reviewed_holdout,https://www.verbalcommits.com/players/jaden-tengan
Kaleb Smith,kaleb-smith,Long Beach State,long-beach-state,Big West,D1,GCU,gcu,Mountain West,D1,2026,2026-27,2026-04-12,,,COMMITMENT,2026-04-12,TRANSFER,2026-04-03,d1_big_west,Power Forward,82,0,COLLEGE_JUNIOR,2022,FALSE,TRUE,FALSE,FALSE,,,https://www.verbalcommits.com/players/kaleb-smith
