target_conference,first_target_season,destination_school,player_name,player_key,source_school,source_conference,source_level,source_season,class,position,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,sports_reference_player_url,source_url,candidate_action
Atlantic 10,2025-26,Duquesne,John Hugley,john hugley,Xavier,Big East,D1,2024-25,SR,F,6-9,240,34,9.9,2.9,2.0,0.7,0.0,0.1,0.8,.471,.500,.600,.544,https://www.sports-reference.com/cbb/players/john-hugley-1.html,https://www.sports-reference.com/cbb/players/john-hugley-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Duquesne,Stef van Bussel,stef van bussel,Saint Louis,A-10,D1,2023-24,FR,C,6-10,255,21,7.9,1.6,2.6,0.3,0.1,0.5,0.3,.579,,.478,.579,https://www.sports-reference.com/cbb/players/stef-van-bussel-1.html,https://www.sports-reference.com/cbb/players/stef-van-bussel-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Duquesne,Tarence Guinyard,tarence guinyard,UT Martin,OVC,D1,2024-25,JR,G,6-2,170,32,28.2,16.3,4.7,2.3,1.3,0.2,1.8,.444,.327,.743,.514,https://www.sports-reference.com/cbb/players/tarence-guinyard-1.html,https://www.sports-reference.com/cbb/players/tarence-guinyard-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2022-23,Fordham,Khalid Moore,khalid moore,Georgia Tech,ACC,D1,2021-22,SR,F,6-7,200,32,23.9,5.2,3.4,0.7,1.1,0.2,1.1,.409,.214,.680,.429,https://www.sports-reference.com/cbb/players/khalid-moore-1.html,https://www.sports-reference.com/cbb/players/khalid-moore-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2024-25,Fordham,Jackie Johnson,jackie johnson,UNLV,MWC,D1,2023-24,JR,G,5-11,185,34,14.8,5.4,1.0,0.9,0.4,0.1,0.7,.410,.344,.500,.500,https://www.sports-reference.com/cbb/players/jackie-johnsoniii-1.html,https://www.sports-reference.com/cbb/players/jackie-johnsoniii-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Fordham,Akira Jacobs,akira jacobs,Hawaii,Big West,D1,2024-25,SO,F,6-9,205,30,18.9,6.9,2.6,0.6,0.1,0.2,1.1,.411,.306,.780,.506,https://www.sports-reference.com/cbb/players/akira-jacobs-1.html,https://www.sports-reference.com/cbb/players/akira-jacobs-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Fordham,Jack Whitbourn,jack whitbourn,UC Riverside,Big West,D1,2024-25,FR,C,6-10,250,34,13.2,3.3,4.4,0.5,0.1,0.2,0.6,.471,.333,.625,.494,https://www.sports-reference.com/cbb/players/jack-whitbourn-1.html,https://www.sports-reference.com/cbb/players/jack-whitbourn-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Fordham,Marcus Greene,marcus greene,Hawaii,Big West,D1,2024-25,SR,G,6-2,190,31,20.5,7.3,1.7,1.5,0.4,0.1,1.3,.394,.302,.767,.464,https://www.sports-reference.com/cbb/players/marcus-greene-1.html,https://www.sports-reference.com/cbb/players/marcus-greene-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Fordham,Rikus Schulte,rikus schulte,UC Riverside,Big West,D1,2024-25,SO,F,6-9,240,33,15.2,3.8,3.3,0.5,0.3,0.2,0.5,.549,.238,.563,.574,https://www.sports-reference.com/cbb/players/rikus-schulte-1.html,https://www.sports-reference.com/cbb/players/rikus-schulte-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2023-24,George Mason,Keyshawn Hall,keyshawn hall,UNLV,MWC,D1,2022-23,FR,G,6-7,250,18,10.7,5.4,1.6,0.4,0.2,0.2,1.1,.479,.500,.680,.548,https://www.sports-reference.com/cbb/players/keyshawn-hall-1.html,https://www.sports-reference.com/cbb/players/keyshawn-hall-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,George Washington,Tre Dinkins,tre dinkins,Duquesne,A-10,D1,2024-25,SR,G,6-2,190,32,29.2,12.9,2.3,3.1,0.9,0.1,1.8,.409,.379,.782,.524,https://www.sports-reference.com/cbb/players/tre-dinkins-1.html,https://www.sports-reference.com/cbb/players/tre-dinkins-1.html,add_transfer_row_and_d1_source_stats
