first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status,source_school,source_conference,source_season,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,source_url,model_recommendation
2025-26,Loyola Marymount,loyola-marymount,Tanner Thomas,tanner thomas,SR,G,6-6,205,https://www.sports-reference.com/cbb/players/tanner-thomas-1.html,data/cache/sports_reference_wcc_schools/loyola-marymount_2026.html,not_on_previous_roster,cached,2024-25,Sacred Heart,MAAC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Sacred Heart,MAAC,2024-25,28,30.3,14.5,6.1,1.4,0.6,0.5,1.5,0.454,0.377,0.725,0.512,https://www.sports-reference.com/cbb/players/tanner-thomas-1.html,include_d1_transfer_after_outcome_stats
2025-26,Oregon State,oregon-state,Dez White,dez white,JR,G,6-2,176,https://www.sports-reference.com/cbb/players/dez-white-1.html,data/cache/sports_reference_wcc_schools/oregon-state_2026.html,not_on_previous_roster,cached,2024-25,Missouri State,MVC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Missouri State,MVC,2024-25,31,34.3,14.0,2.8,2.5,1.0,0.3,1.5,0.383,0.371,0.823,0.492,https://www.sports-reference.com/cbb/players/dez-white-1.html,include_d1_transfer_after_outcome_stats
2025-26,Oregon State,oregon-state,Jorge Diaz Graham,jorge diaz graham,SR,F,6-11,190,https://www.sports-reference.com/cbb/players/jorge-diaz-graham-1.html,data/cache/sports_reference_wcc_schools/oregon-state_2026.html,not_on_previous_roster,cached,2024-25,Pittsburgh,ACC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Pittsburgh,ACC,2024-25,29,7.2,3.1,0.9,0.2,0.3,0.1,0.1,0.519,0.476,0.813,0.704,https://www.sports-reference.com/cbb/players/jorge-diaz-graham-1.html,include_d1_transfer_after_outcome_stats
2025-26,Oregon State,oregon-state,Malcolm Christie,malcolm christie,SR,G,6-5,185,https://www.sports-reference.com/cbb/players/malcolm-christie-1.html,data/cache/sports_reference_wcc_schools/oregon-state_2026.html,not_on_previous_roster,cached,2024-25,Oakland,Horizon,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Oakland,Horizon,2024-25,32,20.0,8.3,1.2,0.4,0.3,0.1,0.6,0.328,0.321,0.698,0.477,https://www.sports-reference.com/cbb/players/malcolm-christie-1.html,include_d1_transfer_after_outcome_stats
2025-26,Oregon State,oregon-state,Noah Amenhauser,noah amenhauser,JR,C,7-0,250,https://www.sports-reference.com/cbb/players/noah-amenhauser-1.html,data/cache/sports_reference_wcc_schools/oregon-state_2026.html,not_on_previous_roster,cached,2024-25,Coastal Carolina,Sun Belt,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Coastal Carolina,Sun Belt,2024-25,31,22.3,10.8,6.0,0.8,0.3,0.8,1.9,0.557,0.4,0.636,0.566,https://www.sports-reference.com/cbb/players/noah-amenhauser-1.html,include_d1_transfer_after_outcome_stats
2025-26,Oregon State,oregon-state,Stephen Olowoniyi,stephen olowoniyi,JR,F,6-8,195,https://www.sports-reference.com/cbb/players/stephen-olowoniyi-1.html,data/cache/sports_reference_wcc_schools/oregon-state_2026.html,not_on_previous_roster,cached,2024-25,Southern Indiana,OVC,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Southern Indiana,OVC,2024-25,30,27.0,13.9,6.8,0.5,0.9,1.1,1.8,0.591,0.0,0.637,0.591,https://www.sports-reference.com/cbb/players/stephen-olowoniyi-1.html,include_d1_transfer_after_outcome_stats
2025-26,Oregon State,oregon-state,Yaak Yaak,yaak yaak,JR,F,6-11,230,https://www.sports-reference.com/cbb/players/yaak-yaak-1.html,data/cache/sports_reference_wcc_schools/oregon-state_2026.html,not_on_previous_roster,cached,2023-24,New Mexico State,CUSA,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,New Mexico State,CUSA,2023-24,15,3.7,0.5,0.7,0.1,0.0,0.1,0.3,0.25,0.0,0.833,0.25,https://www.sports-reference.com/cbb/players/yaak-yaak-1.html,include_d1_transfer_after_outcome_stats
2022-23,Pacific,pacific,Donovan Williams,donovan williams,JR,G,6-5,200,https://www.sports-reference.com/cbb/players/donovan-williams-4.html,data/cache/sports_reference_wcc_schools/pacific_2023.html,not_on_previous_roster,cached,2021-22,Oklahoma State,Big 12,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Oklahoma State,Big 12,2021-22,9,10.4,3.1,1.6,0.2,0.7,0.0,0.4,0.4,0.444,0.571,0.5,https://www.sports-reference.com/cbb/players/donovan-williams-4.html,include_d1_transfer_after_outcome_stats
2022-23,Pacific,pacific,Jordan Ivy-Curry,jordan ivy curry,JR,G,6-2,170,https://www.sports-reference.com/cbb/players/jordan-ivy-curry-1.html,data/cache/sports_reference_wcc_schools/pacific_2023.html,not_on_previous_roster,cached,2021-22,UTSA,CUSA,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,UTSA,CUSA,2021-22,21,27.7,13.9,2.3,2.3,0.9,0.1,2.4,0.347,0.338,0.804,0.424,https://www.sports-reference.com/cbb/players/jordan-ivy-curry-1.html,include_d1_transfer_after_outcome_stats
2022-23,Pacific,pacific,Judson Martindale,judson martindale,JR,G,6-6,205,https://www.sports-reference.com/cbb/players/judson-martindale-1.html,data/cache/sports_reference_wcc_schools/pacific_2023.html,not_on_previous_roster,cached,2021-22,Holy Cross,Patriot,D1,True,add_transfer_row_and_d1_source_stats,possible_transfer,Holy Cross,Patriot,2021-22,31,24.1,8.2,3.3,0.9,0.6,0.6,1.8,0.4,0.339,0.714,0.489,https://www.sports-reference.com/cbb/players/judson-martindale-1.html,include_d1_transfer_after_outcome_stats
