target_conference,first_target_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
Mountain West,2025-26,Colorado State,colorado-state,Jase Butler,jase butler,SO,G,6-4,180,https://www.sports-reference.com/cbb/players/jase-butler-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2026.html,not_on_previous_roster,cached,2024-25,Washington,Big Ten,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2025-26,Colorado State,colorado-state,Jevin Muniz,jevin muniz,SR,G,6-6,215,https://www.sports-reference.com/cbb/players/jevin-muniz-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2026.html,not_on_previous_roster,cached,2024-25,Florida Gulf Coast,A-Sun,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2025-26,Colorado State,colorado-state,Josh Pascarelli,josh pascarelli,JR,G,6-3,195,https://www.sports-reference.com/cbb/players/josh-pascarelli-1.html,data/cache/sports_reference_mwc_schools/colorado-state_2026.html,not_on_previous_roster,cached,2024-25,Marist,MAAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2022-23,Fresno State,fresno-state,Alexander Gorton,alexander gorton,SR,G,6-3,190,https://www.sports-reference.com/cbb/players/alexander-gorton-1.html,data/cache/sports_reference_mwc_schools/fresno-state_2023.html,not_on_previous_roster,cached,2021-22,Did not play - non-major team,,D2,TRUE,add_transfer_row_and_find_d2_source_stats,possible_transfer
Mountain West,2022-23,Fresno State,fresno-state,Chuks Isitua,chuks isitua,SO,F,6-10,220,https://www.sports-reference.com/cbb/players/chuks-isitua-1.html,data/cache/sports_reference_mwc_schools/fresno-state_2023.html,not_on_previous_roster,cached,2021-22,IUPUI,Horizon,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2022-23,Fresno State,fresno-state,Eduardo Andre,eduardo andre,JR,F,6-11,228,https://www.sports-reference.com/cbb/players/eduardo-andre-1.html,data/cache/sports_reference_mwc_schools/fresno-state_2023.html,not_on_previous_roster,cached,2021-22,Nebraska,Big Ten,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2022-23,Fresno State,fresno-state,Isaih Moore,isaih moore,SR,F,6-10,205,https://www.sports-reference.com/cbb/players/isaih-moore-1.html,data/cache/sports_reference_mwc_schools/fresno-state_2023.html,not_on_previous_roster,cached,2021-22,Southern Mississippi,CUSA,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Mountain West,2022-23,Fresno State,fresno-state,Jordan Brinson,jordan brinson,SR,G,6-2,175,https://www.sports-reference.com/cbb/players/jordan-brinson-1.html,data/cache/sports_reference_mwc_schools/fresno-state_2023.html,not_on_previous_roster,cached,2021-22,Did not play - juco,,JUCO,TRUE,add_transfer_row_and_find_juco_source_stats,possible_transfer
Mountain West,2023-24,Fresno State,fresno-state,Chase Courtney,chase courtney,JR,F,6-10,230,https://www.sports-reference.com/cbb/players/chase-courtney-1.html,data/cache/sports_reference_mwc_schools/fresno-state_2024.html,not_on_previous_roster,cached,2022-23,Did not play - juco,,JUCO,TRUE,add_transfer_row_and_find_juco_source_stats,possible_transfer
Mountain West,2023-24,Fresno State,fresno-state,Enoch Boakye,enoch boakye,JR,C,6-10,240,https://www.sports-reference.com/cbb/players/enoch-boakye-1.html,data/cache/sports_reference_mwc_schools/fresno-state_2024.html,not_on_previous_roster,cached,2022-23,Arizona State,Pac-12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
