Player Name,Team,Conference,source_url,source_method,row_match_text,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,TOPG,SPG,BPG,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,eFG,three_share,AST_TOV,FTR,TS_pct,audit_status,acceptance_status
Jayson Love,Holy Family,Central Athletic,https://athletics.holyfamily.edu/sports/mens-basketball/stats/2025-26,official_school_stats_page,"20 Love, Jayson  20 Love, Jayson 3 0.0 9 3.0 0 2 0.0 0 2 0.0 0 0 0.0 0 0.0 1 1 2 0.7 1 1 2 1 0 View Bio",3.0,9.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.6666666666666666,1.0,1.0,2.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,8.888888888888888,4.444444444444444,4.444444444444444,0.0,8.888888888888888,,,,,,profile_fetch_failed,profile_fetch_failed
Farouk Kaba,Jefferson,Central Athletic,https://jeffersonrams.com/sports/mens-basketball/stats,official_school_stats_page,"10 Kaba, Farouk  10 Kaba, Farouk 2 0.0 36 18.0 3 12 0.25 2 8 0.25 6 6 1.0 14 7.0 0 8 8 4.0 2 4 2 1 0 View Bio",2.0,36.0,18.0,3.0,12.0,0.25,2.0,8.0,0.25,6.0,6.0,1.0,14.0,7.0,0.0,8.0,8.0,4.0,2.0,4.0,2.0,1.0,0.0,2.0,1.0,0.5,0.0,15.555555555555555,8.88888888888889,4.444444444444445,1.1111111111111112,0.0,2.2222222222222223,,,,,,ok,ok
KJ Smith,Jefferson,Central Athletic,https://jeffersonrams.com/sports/mens-basketball/stats,official_school_stats_page,"00 Smith, KJ  00 Smith, KJ 2 0.0 6 3.0 2 3 0.667 2 3 0.667 1 2 0.5 7 3.5 1 0 1 0.5 3 1 1 0 0 View Bio",2.0,6.0,3.0,2.0,3.0,0.667,2.0,3.0,0.667,1.0,2.0,0.5,7.0,3.5,1.0,0.0,1.0,0.5,3.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,46.666666666666664,6.666666666666667,6.666666666666667,0.0,0.0,6.666666666666667,,,,,,ok,ok
Cosby Napoleon,Jefferson,Central Athletic,https://jeffersonrams.com/sports/mens-basketball/stats,official_school_stats_page,"24 Napoleon, Cosby  24 Napoleon, Cosby 9 1.0 57 6.3 10 22 0.455 2 5 0.4 3 6 0.5 25 2.8 7 3 10 1.1 8 4 8 0 0 View Bio",9.0,56.7,6.3,10.0,22.0,0.455,2.0,5.0,0.4,3.0,6.0,0.5,25.0,2.7777777777777777,7.0,3.0,10.0,1.1111111111111112,8.0,4.0,8.0,0.0,0.0,0.4444444444444444,0.8888888888888888,0.0,0.0,17.63668430335097,7.054673721340388,2.8218694885361555,0.0,0.0,5.643738977072311,,,,,,ok,ok
Jaden Colzie,Jefferson,Central Athletic,https://jeffersonrams.com/sports/mens-basketball/stats,official_school_stats_page,"02 Colzie, Jaden  02 Colzie, Jaden 10 0.0 46 4.6 6 15 0.4 2 6 0.333 4 8 0.5 18 1.8 1 5 6 0.6 4 9 5 1 0 View Bio",10.0,46.0,4.6,6.0,15.0,0.4,2.0,6.0,0.333,4.0,8.0,0.5,18.0,1.8,1.0,5.0,6.0,0.6,4.0,9.0,5.0,1.0,0.0,0.9,0.5,0.1,0.0,15.65217391304348,5.217391304347826,7.82608695652174,0.8695652173913044,0.0,4.347826086956522,,,,,,ok,ok
Takata Murphy,Jefferson,Central Athletic,https://jeffersonrams.com/sports/mens-basketball/stats,official_school_stats_page,"55 Murphy, Takata  55 Murphy, Takata 6 0.0 23 3.8 1 3 0.333 0 1 0.0 4 4 1.0 6 1.0 0 2 2 0.3 1 3 1 0 1 View Bio",6.0,22.799999999999997,3.8,1.0,3.0,0.333,0.0,1.0,0.0,4.0,4.0,1.0,6.0,1.0,0.0,2.0,2.0,0.3333333333333333,1.0,3.0,1.0,0.0,1.0,0.5,0.1666666666666666,0.0,0.1666666666666666,10.526315789473683,3.508771929824561,5.2631578947368425,0.0,1.7543859649122806,1.7543859649122806,,,,,,ok,ok
Marcel Mamwa,Jefferson,Central Athletic,https://jeffersonrams.com/sports/mens-basketball/stats,official_school_stats_page,"25 Mamwa, Marcel  25 Mamwa, Marcel 4 0.0 4 1.0 0 1 0.0 0 1 0.0 0 0 0.0 0 0.0 0 0 0 0.0 0 0 1 0 0 View Bio",4.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,ok,ok
Brandon Beamon,Post,Central Athletic,https://posteagles.com/sports/mens-basketball/stats,official_school_stats_page,"31 Beamon, Brandon  31 Beamon, Brandon 1 0.0 1 1.0 1 1 1.0 0 0 0.0 0 0 0.0 2 2.0 1 0 1 1.0 0 0 0 0 0 View Bio",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,0.0,,,,,,ok,ok
Cayleb Walters,Post,Central Athletic,https://posteagles.com/sports/mens-basketball/stats,official_school_stats_page,"13 Walters, Cayleb  13 Walters, Cayleb 6 0.0 23 3.8 4 5 0.8 0 1 0.0 1 2 0.5 9 1.5 0 3 3 0.5 2 1 3 2 0 View Bio",6.0,22.799999999999997,3.8,4.0,5.0,0.8,0.0,1.0,0.0,1.0,2.0,0.5,9.0,1.5,0.0,3.0,3.0,0.5,2.0,1.0,3.0,2.0,0.0,0.1666666666666666,0.5,0.3333333333333333,0.0,15.789473684210527,5.2631578947368425,1.7543859649122806,3.508771929824561,0.0,5.2631578947368425,,,,,,ok,ok
Fidel Mpanzo,Wilmington DE,Central Athletic,https://wildcats.athletics.wilmu.edu/sports/mbkb/2025-26/teams/wilmingtondel?view=lineup&r=0&pos=sh,official_school_stats_page,34.0 Fidel  Mpanzo Sr. C 4 1 7.8 0.5-1.5 33.3 0.0-0.0 - 0.2-0.5 50.0 1.3,4.0,7.8,1.95,,,,,,,0.2,0.5,,,1.3,,,,,,,,,,,,,,26.666666666666668,,,,,,,,,,,profile_link_not_found,profile_link_not_found
