number,value,state,params_elastic_alpha,params_elastic_l1_ratio,params_et_bootstrap,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_family,params_gb_learning_rate,params_gb_max_depth,params_gb_max_features,params_gb_min_samples_leaf,params_gb_min_samples_split,params_gb_n_estimators,params_gb_subsample,params_hgb_l2_regularization,params_hgb_learning_rate,params_hgb_max_iter,params_hgb_max_leaf_nodes,params_hgb_min_samples_leaf,params_lgb_colsample_bytree,params_lgb_learning_rate,params_lgb_max_depth,params_lgb_min_child_samples,params_lgb_n_estimators,params_lgb_num_leaves,params_lgb_reg_alpha,params_lgb_reg_lambda,params_lgb_subsample,params_rf_bootstrap,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_ridge_alpha,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_cv_corr,user_attrs_cv_r2,user_attrs_cv_rmse,user_attrs_fold_maes,datetime_start,datetime_complete
680,18.357657128669643,COMPLETE,0.09201714447058662,0.6475769913065533,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44444286983658277,0.18525718107392553,22.702023767726516,"[17.3065867151368, 18.995188067714782, 22.167120572817538, 16.233045312995056, 16.91375951805359]",2026-06-19 03:51:24.529826,2026-06-19 03:51:24.586578
170,18.357681174459568,COMPLETE,0.11187429273717357,0.7162754244002758,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44434134856378316,0.1860158039985993,22.691452157806665,"[17.304054664849335, 18.988497232038647, 22.218861355490514, 16.198459130748383, 16.914238868679018]",2026-06-19 03:49:40.396864,2026-06-19 03:49:40.449820
125,18.357687226137642,COMPLETE,0.09743959149697645,0.6582586680878633,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4443210383913871,0.18570591159926675,22.69577118478221,"[17.325394639046802, 18.9737847774506, 22.196166129891925, 16.21529701268668, 16.88568769609296]",2026-06-19 03:49:31.364240,2026-06-19 03:49:31.426714
949,18.3577031209527,COMPLETE,0.0848935049301817,0.6188788843208103,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4444322819646527,0.18479957673119918,22.708398224879495,"[17.300094650645267, 19.003264213763984, 22.147236120337674, 16.247892302435755, 16.924062281905634]",2026-06-19 03:52:26.922481,2026-06-19 03:52:26.983984
110,18.357714585097057,COMPLETE,0.08443302078554119,0.6176080332431026,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44443884067184375,0.18475368604003395,22.70903738636327,"[17.298492980012337, 19.00492592711712, 22.144928570590753, 16.24937889832051, 16.92699170017199]",2026-06-19 03:49:29.312453,2026-06-19 03:49:29.360789
310,18.357714897125458,COMPLETE,0.09701119107138909,0.6562516408586143,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4443176353095846,0.18569454008362074,22.695929656039567,"[17.32603352886376, 18.97330613957171, 22.19565298682281, 16.215767441467175, 16.88508291246211]",2026-06-19 03:50:06.443660,2026-06-19 03:50:06.501125
790,18.357755474735146,COMPLETE,0.10206877412652461,0.6738113886657073,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4442841866683815,0.18590622214004804,22.692979514130315,"[17.327768355175056, 18.969467572263238, 22.209533350795347, 16.206144881392103, 16.88328929850896]",2026-06-19 03:51:45.931248,2026-06-19 03:51:45.990183
111,18.357778351569124,COMPLETE,0.08045162234694468,0.6096684851279646,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4445279300856337,0.1842712372886387,22.715755801484605,"[17.276746295391842, 19.025608807616127, 22.122247873307405, 16.264717659021986, 16.964387044287683]",2026-06-19 03:49:29.366590,2026-06-19 03:49:29.415656
105,18.357789024601356,COMPLETE,0.0939830431553098,0.6587379904914478,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4444760130924669,0.185283714517679,22.70165410029217,"[17.301013225653723, 19.000105178923253, 22.167318909493158, 16.23199585708556, 16.924222176865385]",2026-06-19 03:49:27.518682,2026-06-19 03:49:27.566896
324,18.35779641225177,COMPLETE,0.09626584696629822,0.6522384999675808,,,,,,,elastic_net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44430580641570866,0.18568266007433953,22.696095212384716,"[17.327966835381414, 18.97163789428159, 22.195453772236487, 16.216222640843114, 16.883236051182273]",2026-06-19 03:50:09.445365,2026-06-19 03:50:09.497376
