player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,source_stat_source,source_url,source_class,seasons_played_before_transfer,class_backfill_source,class_backfill_file,class_backfill_table,class_backfill_matched_name
Paul Bizimana,Big West,D1,Eastern Illinois,Cal Poly,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/eastern-illinois/men/2023.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/eastern-illinois_2023.html,0,Paul Bizimana
Caleb McCarty,Big West,D1,South Carolina State,Cal State Bakersfield,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/south-carolina-state/men/2025.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/south-carolina-state_2025.html,0,Caleb McCarty
Ben Shtolzberg,Big West,D1,Creighton,UC Santa Barbara,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/creighton/men/2023.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/creighton_2023.html,0,Ben Shtolzberg
Denzel Hines,Big West,D1,Coastal Carolina,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/coastal-carolina/men/2025.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/coastal-carolina_2025.html,0,Denzel Hines
Jared Barnett,Big West,D1,San Diego State,Cal State Northridge,2022-23,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2023.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/san-diego-state_2023.html,0,Jared Barnett
Isaac Spears,Big West,D1,Montana State,Cal Poly,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/montana-state/men/2022.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/montana-state_2022.html,0,Isaac Spears
Dylan Godfrey,Big West,D1,Canisius,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/canisius/men/2025.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/canisius_2025.html,0,Dylan Godfrey
Jerome Palm,Big West,D1,Valparaiso,Hawaii,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/valparaiso/men/2024.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/valparaiso_2024.html,0,Jerome Palm
Jalen Myers,Big West,D1,Norfolk State,Hawaii,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/norfolk-state/men/2025.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/norfolk-state_2025.html,0,Jalen Myers
Festus Ndumanya,Big West,D1,Southern,Cal State Northridge,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/southern/men/2024.html,SR,4.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/southern_2024.html,0,Festus Ndumanya
