target_conference,player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_bpm,barttorvik_obpm,barttorvik_dbpm,barttorvik_url,barttorvik_player_name,barttorvik_team,match_status,source_file
Big West,Kane Milling,kane-milling,UC Davis,uc-davis,2021-22,0.600532,0.47655,-0.507175,0.983726,https://barttorvik.com/playerstat.php?year=2022&p=70413,Kane Milling,UC Davis,matched_player_and_team,Bart data/trank_data_2022.csv
Big West,Marvin McGhee IV,marvin-mcghee-iv,UC Santa Barbara,uc-santa-barbara,2025-26,1.36559,3.28771,1.78644,1.50127,https://barttorvik.com/playerstat.php?year=2026&p=127075,Marvin McGhee IV,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Harrison Carrington,harrison-carrington,UC Irvine,uc-irvine,2025-26,1.57427,1.5225,0.947847,0.57465,https://barttorvik.com/playerstat.php?year=2026&p=76967,Harrison Carrington,UC Irvine,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Osiris Grady,osiris-grady,UC Riverside,uc-riverside,2025-26,0.174956,-3.94214,-3.23765,-0.704489,https://barttorvik.com/playerstat.php?year=2026&p=78010,Osiris Grady,UC Riverside,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Alex Chaikin,alex-chaikin,UC San Diego,uc-san-diego,2025-26,1.01524,-0.709118,-0.372741,-0.336377,https://barttorvik.com/playerstat.php?year=2026&p=127749,Alex Chaikin,UC San Diego,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Dionte Bostick,dionte-bostick,Cal State Northridge,cal-state-northridge,2022-23,0.82644,-3.94033,-2.3136,-1.62673,https://barttorvik.com/playerstat.php?year=2023&p=73494,Dionte Bostick,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Mac Riniker,mac-riniker,Cal Poly,cal-poly,2024-25,1.06617,1.25709,-0.408995,1.66609,https://barttorvik.com/playerstat.php?year=2025&p=128023,Mac Riniker,Cal Poly,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Onyi Eyisi,onyi-eyisi,Cal State Northridge,cal-state-northridge,2021-22,2.31287,-2.45264,-0.479588,-1.97305,https://barttorvik.com/playerstat.php?year=2022&p=65528,Onyi Eyisi,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2022.csv
Big West,Ronald Jessamy,ronald-jessamy,Cal State Bakersfield,cal-state-bakersfield,2025-26,1.31753,-0.179733,-2.10948,1.92974,https://barttorvik.com/playerstat.php?year=2026&p=78820,Ronald Jessamy,Cal St. Bakersfield,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,"De'Undrae Perteete, Jr.",deundrae-perteete,UC Riverside,uc-riverside,2025-26,1.13316,0.0798848,0.358647,-0.278762,https://barttorvik.com/playerstat.php?year=2026&p=133866,De'Undrae Perteete,UC Riverside,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Joel Armotrading,joel-armotrading,UC Riverside,uc-riverside,2024-25,1.41976,1.79848,-0.727746,2.52622,https://barttorvik.com/playerstat.php?year=2025&p=77845,Joel Armotrading,UC Riverside,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Chance Hunter,chance-hunter,Cal Poly,cal-poly,2022-23,0.222096,-2.16383,-2.22616,0.0623343,https://barttorvik.com/playerstat.php?year=2023&p=70894,Chance Hunter,Cal Poly,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Jarred Hyder,jarred-hyder,Cal Poly,cal-poly,2023-24,-0.33161,-4.25912,-2.13122,-2.1279,https://barttorvik.com/playerstat.php?year=2024&p=70594,Jarred Hyder,Cal Poly,matched_player_and_team,Bart data/trank_data_2024.csv
Big West,Marcus Tsohonis,marcus-tsohonis,Long Beach State,long-beach-state,2022-23,1.32075,-5.19714,-2.23847,-2.95867,https://barttorvik.com/playerstat.php?year=2023&p=71982,Marcus Tsohonis,Long Beach St.,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Jordan Brinson,jordan-brinson,Cal State Northridge,cal-state-northridge,2023-24,-0.0901539,-1.22864,-2.21852,0.98988,https://barttorvik.com/playerstat.php?year=2024&p=71663,Jordan Brinson,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2024.csv
Big West,Colin Smith,colin-smith,UC Santa Barbara,uc-santa-barbara,2024-25,1.60146,-0.76308,0.80868,-1.57176,https://barttorvik.com/playerstat.php?year=2025&p=77264,Colin Smith,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Isaiah Kerr,isaiah-kerr,Hawaii,hawaii,2025-26,0.550849,0.3587,-0.869452,1.22815,https://barttorvik.com/playerstat.php?year=2026&p=134592,Isaiah Kerr,Hawaii,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Jamal Hartwell II,jamal-hartwell-ii,UC Riverside,uc-riverside,2022-23,1.27375,-2.00894,0.139586,-2.14853,https://barttorvik.com/playerstat.php?year=2023&p=66294,Jamal Hartwell II,UC Riverside,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Kyle Evans,kyle-evans,UC Irvine,uc-irvine,2024-25,1.04961,5.66404,-0.985456,6.64949,https://barttorvik.com/playerstat.php?year=2025&p=77459,Kyle Evans,UC Irvine,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Justin Rochelin,justin-rochelin,UC San Diego,uc-san-diego,2024-25,0.780742,0.77586,-1.03356,1.80942,https://barttorvik.com/playerstat.php?year=2025&p=75236,Justin Rochelin,UC San Diego,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,B.J. Kolly,bj-kolly,UC Riverside,uc-riverside,2025-26,0.643476,-0.842916,-2.99004,2.14713,https://barttorvik.com/playerstat.php?year=2026&p=127644,BJ Kolly,UC Riverside,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Pierre Crockrell II,pierre-crockrell-ii,UC Irvine,uc-irvine,2022-23,0.256959,-3.04372,-2.82112,-0.222608,https://barttorvik.com/playerstat.php?year=2023&p=71987,Pierre Crockrell II,UC Irvine,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Derrick Michael Xzavierro,derrick-michael-xzavierro,Long Beach State,long-beach-state,2024-25,0.66238,-0.140876,-1.52431,1.38343,https://barttorvik.com/playerstat.php?year=2025&p=76904,Derrick Michael Xzavierro,Long Beach St.,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Mahmoud Fofana,mahmoud-fofana,Cal State Northridge,cal-state-northridge,2023-24,0.241694,-0.497157,-1.53875,1.0416,https://barttorvik.com/playerstat.php?year=2024&p=77843,Mahmoud Fofana,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2024.csv
Big West,Jacob Davison,jacob-davison,Cal Poly,cal-poly,2021-22,0.592103,-4.44843,-3.01468,-1.43375,https://barttorvik.com/playerstat.php?year=2022&p=48538,Jacob Davison,Cal Poly,matched_player_and_team,Bart data/trank_data_2022.csv
